subject,chapter,concept,difficulty,par_time_sec,question_text,option_a,option_b,option_c,option_d,correct_option
Physics,Electromagnetic Waves,Speed,Easy,40,The speed of electromagnetic waves in vacuum is approximately:,1.5 x 10^8 m/s,340 m/s,3 x 10^8 m/s,3 x 10^6 m/s,C
Physics,Electromagnetic Waves,Nature,Easy,45,Electromagnetic waves are:,transverse,mechanical,longitudinal,always standing,A
Physics,Electromagnetic Waves,Spectrum,Easy,45,"Among the following, the radiation with the longest wavelength is:",radio waves,gamma rays,visible light,X-rays,A
Physics,Electromagnetic Waves,Composition,Easy,45,An electromagnetic wave consists of oscillating:,only an electric field,pressure variations,only a magnetic field,electric and magnetic fields,D
Physics,Electromagnetic Waves,E and B Fields,Medium,55,"In an electromagnetic wave, the electric and magnetic fields are:",parallel to each other,mutually perpendicular and in phase,perpendicular but out of phase,anti-parallel,B
Physics,Electromagnetic Waves,Applications,Medium,55,The electromagnetic radiation used in a TV remote control is:,infrared,gamma rays,ultraviolet,X-rays,A
Physics,Electromagnetic Waves,Spectrum,Medium,55,"Among the following, the radiation of highest frequency is:",gamma rays,infrared,microwaves,radio waves,A
Physics,Electromagnetic Waves,E and B Fields,Medium,55,"For an electromagnetic wave in vacuum, the ratio E/B equals:",c squared,1/c,zero,the speed of light c,D
Physics,Electromagnetic Waves,Speed,Hard,80,"The speed of EM waves, c = 1/sqrt(mu0 epsilon0), depends on the:",permeability and permittivity of free space,amplitude,wavelength only,frequency,A
Physics,Electromagnetic Waves,Applications,Hard,75,"In medicine, X-rays are mainly used for:",radio communication,cooking food,night vision,imaging bones,D
Physics,Electromagnetic Waves,Wavelength,Hard,80,The wavelength in vacuum of an electromagnetic wave of frequency 10^8 Hz is:,30 m,3 m,0.3 m,3 x 10^16 m,B
Physics,Electromagnetic Waves,Atmosphere,Hard,75,Most of the harmful ultraviolet radiation from the Sun is absorbed by the:,ionosphere,ozone layer,lower troposphere,magnetosphere,B
Physics,Ray Optics and Optical Instruments,Refraction,Easy,40,The bending of light as it passes from one medium into another is called:,dispersion,diffraction,reflection,refraction,D
Physics,Ray Optics and Optical Instruments,Plane Mirror,Easy,45,The focal length of a plane mirror is:,zero,equal to the object distance,negative,infinite,D
Physics,Ray Optics and Optical Instruments,Lenses,Easy,45,A converging lens is a:,plane lens,convex lens,concave lens,cylindrical lens,B
Physics,Ray Optics and Optical Instruments,Power of Lens,Easy,40,The SI unit of the power of a lens is the:,dioptre,lumen,metre,watt,A
Physics,Ray Optics and Optical Instruments,Mirror Formula,Medium,55,"The mirror formula relating image distance v, object distance u and focal length f is:",v + u = f,1/v + 1/u = 1/f,1/v - 1/u = 1/f,u/v = f,B
Physics,Ray Optics and Optical Instruments,Refractive Index,Medium,55,"If light slows down to c/1.5 in a medium, the refractive index of that medium is:",1.5,0.67,1,3,A
Physics,Ray Optics and Optical Instruments,Power of Lens,Medium,55,The power of a lens of focal length 50 cm is:,0.5 D,5 D,2 D,50 D,C
Physics,Ray Optics and Optical Instruments,Total Internal Reflection,Medium,60,Total internal reflection occurs when light travels from a:,any medium to any other,denser to a rarer medium beyond the critical angle,rarer to a denser medium,vacuum into glass,B
Physics,Ray Optics and Optical Instruments,Lens Formula,Hard,90,A convex lens of focal length 20 cm forms an image of an object placed 30 cm away. The image distance is:,60 cm,50 cm,12 cm,30 cm,A
Physics,Ray Optics and Optical Instruments,Magnification,Hard,80,The linear magnification produced by a lens is given by:,u/v,v - u,v x u,v/u,D
Physics,Ray Optics and Optical Instruments,Combination of Lenses,Hard,80,Two thin lenses of powers +2 D and +3 D are placed in contact. The combined power is:,2.5 D,6 D,1 D,5 D,D
Physics,Ray Optics and Optical Instruments,Critical Angle,Hard,85,The critical angle for a medium of refractive index sqrt(2) is:,30 degrees,90 degrees,45 degrees,60 degrees,C
Physics,Wave Optics,Interference,Easy,45,The phenomenon that establishes the wave nature of light is:,the photoelectric effect,reflection,interference,rectilinear propagation,C
