subject,chapter,concept,difficulty,par_time_sec,question_text,option_a,option_b,option_c,option_d,correct_option
Biology,Human Reproduction,Male Gamete,Easy,45,The male gamete in humans is the:,ovum,embryo,sperm,zygote,C
Biology,Human Reproduction,Female Gamete,Easy,45,The female gamete in humans is the:,embryo,ovum,zygote,sperm,B
Biology,Human Reproduction,Testes,Easy,45,The male reproductive organs that produce sperm are the:,kidneys,testes,uterus,ovaries,B
Biology,Human Reproduction,Uterus,Easy,45,The female reproductive organ in which the foetus develops is the:,ovary,oviduct,vagina,uterus,D
Biology,Human Reproduction,Fertilization Site,Medium,55,"In humans, fertilization normally takes place in the:",ovary,uterus,vagina,fallopian tube,D
Biology,Human Reproduction,Ovulation,Medium,55,The release of a mature egg from the ovary is called:,implantation,gestation,ovulation,menstruation,C
Biology,Human Reproduction,Ovaries,Medium,55,"In the human female, the gametes are produced in the:",uterus,ovaries,oviduct,testes,B
Biology,Human Reproduction,Placenta,Medium,55,The structure that nourishes the developing foetus in the uterus is the:,amnion,placenta,ovary,navel,B
Biology,Human Reproduction,Progesterone,Hard,80,The hormone that maintains pregnancy is:,thyroxine,adrenaline,progesterone,insulin,C
Biology,Human Reproduction,Gamete Chromosomes,Hard,80,The number of chromosomes present in a normal human gamete is:,22,44,46,23,D
Biology,Human Reproduction,Spermatogenesis,Hard,80,The process by which sperm are formed in the testes is called:,spermatogenesis,fertilization,ovulation,oogenesis,A
Biology,Human Reproduction,Gestation,Hard,80,The normal gestation (pregnancy) period in humans is approximately:,3 months,6 weeks,12 months,9 months,D
Biology,Reproductive Health,STD,Easy,45,The abbreviation STD stands for:,Sexually Transmitted Disease,Surface Tension Density,Soil Test Data,Standard Test Dose,A
Biology,Reproductive Health,Contraception,Easy,45,Methods used to prevent unwanted pregnancy are called:,fertility methods,assisted reproduction,contraceptive methods,prenatal tests,C
Biology,Reproductive Health,AIDS,Easy,45,AIDS in humans is caused by:,a protozoan,a fungus,a bacterium,HIV,D
Biology,Reproductive Health,Family Planning,Easy,45,The programme aimed at controlling population growth is called:,sanitation,vaccination,immunization,family planning,D
Biology,Reproductive Health,Barrier Method,Medium,55,A common barrier method of contraception is the:,surgery,condom,oral pill,intrauterine device,B
Biology,Reproductive Health,IVF,Medium,55,The technique in which fertilization occurs outside the body (the test-tube baby technique) is:,ovulation,amniocentesis,lactation,IVF (in vitro fertilization),D
Biology,Reproductive Health,MTP,Medium,55,Medical termination of pregnancy is also known as:,contraception,ovulation,induced abortion,implantation,C
Biology,Reproductive Health,Amniocentesis,Medium,55,A serious misuse of the amniocentesis technique is for:,vaccination,blood transfusion,organ transplant,illegal determination of the sex of the foetus,D
Biology,Reproductive Health,RCH,Hard,80,The abbreviation RCH stands for:,Renal Care Hospital,Reproductive and Child Health,Rapid Cell Healing,Red Cell Haemoglobin,B
Biology,Reproductive Health,Hormonal Contraceptive,Hard,80,An example of a hormonal method of contraception is the:,oral contraceptive pill,vasectomy,condom,copper-T,A
Biology,Reproductive Health,Vasectomy,Hard,80,The surgical method of contraception in males is called:,laparoscopy,vasectomy,IVF,tubectomy,B
Biology,Reproductive Health,Bacterial STD,Hard,80,"Among the following, the sexually transmitted disease caused by a bacterium is:",syphilis,dengue,AIDS,hepatitis B,A
Biology,Principles of Inheritance and Variation,Mendel,Easy,45,The scientist regarded as the father of genetics is:,James Watson,Charles Darwin,Gregor Mendel,Thomas Morgan,C
Biology,Principles of Inheritance and Variation,Genes,Easy,45,The hereditary units that determine the traits of an organism are called:,hormones,enzymes,genes,vitamins,C
Biology,Principles of Inheritance and Variation,Mendel's Material,Easy,45,Mendel carried out his famous experiments on:,pea plants,maize,fruit flies,mice,A
Biology,Principles of Inheritance and Variation,Alleles,Easy,45,The different forms of the same gene are called:,chromosomes,codons,ribosomes,alleles,D
Biology,Principles of Inheritance and Variation,Dominant Trait,Medium,55,A trait that is expressed in the F1 generation of a cross is said to be:,dominant,codominant,lethal,recessive,A
Biology,Principles of Inheritance and Variation,Genotype,Medium,55,The genetic constitution of an organism is called its:,phenotype,genotype,pedigree,karyotype,B
Biology,Principles of Inheritance and Variation,Phenotype,Medium,55,The observable characteristics of an organism constitute its:,genotype,locus,allele,phenotype,D
Biology,Principles of Inheritance and Variation,Monohybrid Cross,Medium,55,"In a Mendelian monohybrid cross, the F2 phenotypic ratio is:",1:2:1,9:3:3:1,1:1,3:1,D
Biology,Principles of Inheritance and Variation,Dihybrid Cross,Hard,80,"In a Mendelian dihybrid cross, the F2 phenotypic ratio is:",1:1,3:1,1:2:1,9:3:3:1,D
Biology,Principles of Inheritance and Variation,Homozygous,Hard,80,An organism carrying two identical alleles for a particular trait is said to be:,homozygous,heterozygous,polyploid,hemizygous,A
Biology,Principles of Inheritance and Variation,Codominance,Hard,80,"The condition in which both alleles are fully expressed, as in the AB blood group, is called:",codominance,complete dominance,epistasis,recessiveness,A
Biology,Principles of Inheritance and Variation,Sex Chromosomes,Hard,80,The sex chromosomes present in a normal human female are:,YY,XX,XY,XO,B
Biology,Molecular Basis of Inheritance,Genetic Material,Easy,45,The genetic material in most living organisms is:,protein,lipid,DNA,carbohydrate,C
Biology,Molecular Basis of Inheritance,DNA,Easy,45,The full form of DNA is:,diribonucleic acid,deoxyribonucleic acid,deoxyribose nucleotide,dinucleic acid,B
Biology,Molecular Basis of Inheritance,Double Helix,Easy,45,The double-helix model of DNA was proposed by:,Gregor Mendel,Thomas Morgan,Charles Darwin,Watson and Crick,D
Biology,Molecular Basis of Inheritance,Base Pairing,Easy,45,"In DNA, the base that pairs with adenine is:",guanine,thymine,cytosine,uracil,B
Biology,Molecular Basis of Inheritance,Base Pairing,Medium,55,"In DNA, the base guanine pairs with:",uracil,thymine,cytosine,adenine,C
Biology,Molecular Basis of Inheritance,Transcription,Medium,55,The synthesis of RNA using a DNA template is called:,translation,transcription,mutation,replication,B
Biology,Molecular Basis of Inheritance,Translation,Medium,55,The synthesis of a protein from the information in mRNA is called:,duplication,translation,transcription,replication,B
Biology,Molecular Basis of Inheritance,RNA Sugar,Medium,55,The five-carbon sugar present in RNA is:,ribose,fructose,glucose,deoxyribose,A
Biology,Molecular Basis of Inheritance,Codon,Hard,80,A sequence of three nitrogenous bases on mRNA that codes for one amino acid is called a:,operon,codon,gene,allele,B
Biology,Molecular Basis of Inheritance,RNA Bases,Hard,80,"In RNA, the base uracil takes the place of:",thymine,guanine,cytosine,adenine,A
Biology,Molecular Basis of Inheritance,Ribosome,Hard,80,The cellular structure that reads mRNA and assembles proteins is the:,lysosome,nucleus,mitochondrion,ribosome,D
Biology,Molecular Basis of Inheritance,DNA Replication,Hard,80,The semi-conservative nature of DNA replication was experimentally demonstrated by:,Hershey and Chase,Meselson and Stahl,Watson and Crick,Frederick Griffith,B
Biology,Evolution,Natural Selection,Easy,45,The theory of evolution by natural selection was proposed by:,Hugo de Vries,Gregor Mendel,Jean-Baptiste Lamarck,Charles Darwin,D
Biology,Evolution,Definition,Easy,45,The gradual change in the characteristics of a species over many generations is called:,mutation,adaptation,evolution,succession,C
Biology,Evolution,Fossils,Easy,45,Fossils are:,living cells,the preserved remains of ancient organisms,modern bones,ordinary rocks,B
Biology,Evolution,Darwin,Easy,45,Darwin's famous book on evolution is titled:,The Selfish Gene,On the Origin of Species,Principia Mathematica,Systema Naturae,B
Biology,Evolution,Homologous Organs,Medium,55,"Organs that have a similar basic structure but perform different functions, such as the forelimbs of vertebrates, are called:",vestigial organs,fossils,homologous organs,analogous organs,C
Biology,Evolution,Analogous Organs,Medium,55,"Organs that have different structures but perform a similar function, such as the wings of an insect and a bird, are called:",vestigial organs,fossils,homologous organs,analogous organs,D
Biology,Evolution,Convergent Evolution,Medium,55,The wings of a bird and the wings of an insect are an example of:,convergent evolution,divergent evolution,no evolution,co-evolution,A
Biology,Evolution,Vestigial Organs,Medium,55,"Reduced, non-functional organs such as the appendix in humans are called:",homologous organs,analogous organs,fossils,vestigial organs,D
Biology,Evolution,Variation,Hard,80,The raw material for evolution by natural selection is provided by:,variations,identical genes,vestigial organs,a constant environment,A
Biology,Evolution,Hardy-Weinberg,Hard,80,The Hardy-Weinberg principle is concerned with:,mutation rates only,fossil dating,embryonic development,allele frequencies in a population,D
Biology,Evolution,Darwinism,Hard,80,"According to Darwin, the chief driving force of evolution is:",use and disuse of organs,inheritance of acquired characters,mutation alone,natural selection,D
Biology,Evolution,Palaeontology,Hard,80,The study that uses fossils as evidence for evolution is:,palaeontology,ecology,comparative anatomy,embryology,A
Biology,Human Health and Disease,Infectious Disease,Easy,45,Diseases caused by pathogens that spread from one person to another are called:,infectious diseases,non-infectious diseases,deficiency diseases,genetic diseases,A
Biology,Human Health and Disease,Malaria,Easy,45,Malaria in humans is caused by:,a virus,Plasmodium,a fungus,a bacterium,B
Biology,Human Health and Disease,Immunity,Easy,45,The ability of the body to resist and fight disease is called:,allergy,inflammation,infection,immunity,D
Biology,Human Health and Disease,AIDS,Easy,45,AIDS is caused by a virus known as:,HIV,Plasmodium,Salmonella,a fungus,A
Biology,Human Health and Disease,Vaccination,Medium,55,Vaccination provides the body with:,only temporary digestion,no immunity at all,active acquired immunity,passive innate immunity,C
Biology,Human Health and Disease,Typhoid,Medium,55,The disease typhoid is caused by:,a protozoan,bacteria,a fungus,a virus,B
Biology,Human Health and Disease,Antibody Production,Medium,55,The cells of the immune system that produce antibodies are the:,lymphocytes,neurons,platelets,red blood cells,A
Biology,Human Health and Disease,Malaria Vector,Medium,55,Malaria is transmitted to humans through the bite of the:,female Anopheles mosquito,housefly,Aedes mosquito,tsetse fly,A
Biology,Human Health and Disease,HIV,Hard,80,HIV primarily attacks and destroys which cells of the immune system?,platelets,red blood cells,neurons,helper T-lymphocytes,D
Biology,Human Health and Disease,Antibodies,Hard,80,The protein molecules produced by the body to fight specific antigens are called:,hormones,antibodies,enzymes,vitamins,B
Biology,Human Health and Disease,Deficiency Disease,Hard,80,A disease that results from the lack of a particular nutrient in the diet is called a:,allergy,deficiency disease,infectious disease,genetic disease,B
Biology,Human Health and Disease,Dengue Vector,Hard,80,Dengue and chikungunya are transmitted to humans by the:,sandfly,Anopheles mosquito,housefly,Aedes mosquito,D
Biology,Strategies for Enhancement in Food Production,Animal Husbandry,Easy,45,The scientific management and breeding of livestock is called:,horticulture,sericulture,floriculture,animal husbandry,D
Biology,Strategies for Enhancement in Food Production,Apiculture,Easy,45,The rearing of honeybees for the production of honey is called:,aquaculture,pisciculture,sericulture,apiculture,D
Biology,Strategies for Enhancement in Food Production,Pisciculture,Easy,45,The rearing and management of fish for food is called:,poultry farming,apiculture,pisciculture,sericulture,C
Biology,Strategies for Enhancement in Food Production,Sericulture,Easy,45,The rearing of silkworms for the production of silk is called:,horticulture,sericulture,pisciculture,apiculture,B
Biology,Strategies for Enhancement in Food Production,Plant Breeding,Medium,55,The development of new and improved varieties of crops is achieved through:,irrigation,plant breeding,harvesting,weeding,B
Biology,Strategies for Enhancement in Food Production,Green Revolution,Medium,55,The Green Revolution greatly increased the production of:,fish,milk,food grains,silk,C
Biology,Strategies for Enhancement in Food Production,Micropropagation,Medium,55,The technique of producing many plants from a small piece of tissue using tissue culture is called:,micropropagation,grafting,hybridization,mutation breeding,A
Biology,Strategies for Enhancement in Food Production,Hydroponics,Medium,55,The cultivation of plants in a nutrient solution without using soil is called:,sericulture,hydroponics,apiculture,vermiculture,B
Biology,Strategies for Enhancement in Food Production,Genetic Engineering,Hard,80,The introduction of a desirable gene into a crop to improve it is achieved through:,genetic engineering,simple selection,mulching,weeding,A
Biology,Strategies for Enhancement in Food Production,Biofortification,Hard,80,Biofortification is the breeding of crops to improve their:,colour only,nutrient content,water content,size only,B
Biology,Strategies for Enhancement in Food Production,Blue Revolution,Hard,80,The Blue Revolution is associated with an increase in the production of:,grain,silk,fish,milk,C
Biology,Strategies for Enhancement in Food Production,Totipotency,Hard,80,A single totipotent plant cell has the ability to develop into a:,single organ only,nothing,whole plant,gamete only,C
Biology,Microbes in Human Welfare,Curd,Easy,45,The microorganism used in the conversion of milk into curd is:,Penicillium,yeast,a virus,Lactobacillus,D
Biology,Microbes in Human Welfare,Yeast,Easy,45,The microorganism widely used in bread-making and brewing is:,a virus,Lactobacillus,Rhizobium,yeast,D
Biology,Microbes in Human Welfare,Penicillin,Easy,45,The antibiotic penicillin is obtained from a:,bacterium,virus,fungus,alga,C
Biology,Microbes in Human Welfare,Microorganisms,Easy,45,Living organisms that are too small to be seen with the naked eye are called:,minerals,microorganisms,animals,plants,B
Biology,Microbes in Human Welfare,Fermentation,Medium,55,"During fermentation, the gas produced by yeast that makes dough rise is:",carbon dioxide,nitrogen,oxygen,hydrogen,A
Biology,Microbes in Human Welfare,Biogas,Medium,55,The main combustible component of biogas (gobar gas) is:,carbon dioxide,methane,nitrogen,oxygen,B
