id,centre_id,subject,chapter,concept,difficulty,par_time_sec,body_en,options_en,answer_index,created_at,image_url,source,hidden,tamil_question_text,tamil_options,tamil_explanation,tamil_status,tamil_confidence_notes,tamil_drafted_at,tamil_approved_at,tamil_approved_by,tamil_validation_result,tamil_error_log,body_ta,options_ta,explanation_ta,explanation_en,language,status,body,options,explanation,verifier_raw,verifier_index
55dacaa0-963b-4995-8353-d4ede5762444,,Biology,Anatomy of Flowering Plants,Secondary growth in dicot stem,Medium,60,Arrange the components of a woody dicot stem from the outer side to the inner side: (a) Secondary cortex (b) Wood (c) Secondary phloem (d) Phellem,"[""d c a b"",""c d b a"",""a b d c"",""d a c b""]",3,2026-06-07T18:25:59.983811+00:00,,pyq,false,,,,none,,,,,,,,,,,en,live,,,,,
24dd6000-acd5-49f4-af9a-314aca20b148,,Biology,Animal Kingdom,Coelenterate life cycle,Medium,50,Metagenesis refers to:,"[""A segmented body with parthenogenetic reproduction"",""The presence of different morphic forms"",""Alternation of generation between asexual and sexual phases"",""A drastic change in form during post-embryonic development""]",2,2026-06-07T18:25:59.983811+00:00,,pyq,false,,,,none,,,,,,,,,,,en,live,,,,,
cefc3c8c-7632-48ee-8e7f-29e4b1069fdf,,Biology,Animal Kingdom,Phylum Porifera,Medium,50,"A body with a meshwork of cells, internal cavities lined with food-filtering flagellated cells, and indirect development are characteristics of the phylum:","[""Protozoa"",""Coelenterata"",""Porifera"",""Mollusca""]",2,2026-06-07T18:25:59.983811+00:00,,pyq,false,,,,none,,,,,,,,,,,en,live,,,,,
c2e57452-04dd-4bba-be87-f3f7056a75ed,,Biology,Animal Kingdom,Cyclostomes,Medium,50,A jawless fish that lays eggs in fresh water and whose ammocoete larva returns to the ocean after metamorphosis is:,"[""Petromyzon"",""Eptatretus"",""Myxine"",""Neomyxine""]",0,2026-06-07T18:25:59.983811+00:00,,pyq,false,,,,none,,,,,,,,,,,en,live,,,,,
db0800b4-a8ed-46f1-8b40-6be3142d3b1e,,Biology,Animal Kingdom,Animal Kingdom,Medium,50,The chitinous exoskeleton of arthropods is formed by the polymerisation of:,"[""Lipoglycans"",""Keratin sulphate and chondroitin sulphate"",""D-glucosamine"",""N-acetylglucosamine""]",3,2026-06-07T18:25:59.983811+00:00,,pyq,false,,,,none,,,,,,,,,,,en,live,,,,,
74a8cfda-f9c7-4157-8e44-9a4f13d2dc55,,Biology,Animal Kingdom,Animal Kingdom,Medium,60,Which of the following features is not present in the Phylum – Arthropoda?,"[""Chitinous exoskeleton"",""Metameric segmentation"",""Parapodia"",""Jointed appendages""]",2,2026-06-08T05:06:11.299951+00:00,,pyq,false,,,,none,,,,,,,,,,,en,live,,,,,
6e07df92-e182-4644-8e9d-8ff4c639e7ea,,Biology,Animal Kingdom,Animal Kingdom,Medium,60,Which of the following features is not present in Periplaneta americana?,"[""Schizocoelom as body cavity"",""Indeterminate and radial cleavage during embryonic development"",""Exoskeleton composed of N – acetylglucosamine"",""Metamerically segmented body""]",1,2026-06-08T05:06:11.299951+00:00,,pyq,false,,,,none,,,,,,,,,,,en,live,,,,,
7e3c4908-8b8c-4aee-8399-d00be8d55446,,Biology,Animal Kingdom,Animal Kingdom,Medium,60,Which of the following characteristic features always holds true for the corresponding group of animals?,"[""64 Cartilaginous endoskeleton Chondrichthyes"",""Viviparous Mammalia"",""Possess a mouth with an upper and a lower jaw Chordata"",""3 – chambered heart with one incompletely divided ventricle Reptilia""]",0,2026-06-08T05:06:11.299951+00:00,,pyq,false,,,,none,,,,,,,,,,,en,live,,,,,
2ad7ec96-97e5-49a6-8723-ee619f6aed41,,Biology,Biodiversity and Conservation,Endemism,Easy,40,A species confined to a particular region and not found elsewhere is termed:,"[""Rare"",""Keystone"",""Alien"",""Endemic""]",3,2026-06-07T18:25:59.983811+00:00,,pyq,false,,,,none,,,,,,,,,,,en,live,,,,,
dbd0bd41-ba6b-42eb-8532-88a177ebdf38,,Biology,Biodiversity and Conservation,Biodiversity and Conservation,Medium,60,Which is the National Aquatic Animal of India?,"[""Gangetic shark"",""River dolphin"",""Blue whale"",""Sea – horse""]",1,2026-06-08T05:06:11.299951+00:00,,pyq,false,,,,none,,,,,,,,,,,en,live,,,,,
326346d5-5e79-4c92-8658-6296b4cb14f4,,Biology,Biodiversity and Conservation,Biodiversity and Conservation,Medium,60,Which of the following is the most important cause of animals and plants being driven to extinction?,"[""Over – exploitation"",""Alien species invasion"",""Habitat loss and fragmentation"",""Co – extinctions""]",2,2026-06-08T05:06:11.299951+00:00,,pyq,false,,,,none,,,,,,,,,,,en,live,,,,,
f881ba59-554f-430c-9690-cb7854fbd50d,,Biology,Biological Classification,Biological Classification,Medium,60,"Chrysophytes, Euglenoids, Dinoflagellates and Slime moulds are included in the kingdom:","[""Monera"",""Protista"",""Fungi"",""Animalia""]",1,2026-06-08T05:06:11.299951+00:00,,pyq,false,,,,none,,,,,,,,,,,en,live,,,,,
d6caed8f-6c86-4636-b9d4-2559c7131945,,Biology,Biological Classification,Protists,Medium,50,In which group of organisms do the cell walls form two thin overlapping shells that fit together?,"[""Slime moulds"",""Chrysophytes"",""Euglenoids"",""Dinoflagellates""]",1,2026-06-07T18:25:59.983811+00:00,,pyq,false,,,,none,,,,,,,,,,,en,live,,,,,
2c46dd1a-19bf-4948-84dd-81c29a98429d,,Biology,Biological Classification,Pigments in prokaryotes,Easy,40,Chromatophores take part in:,"[""Respiration"",""Photosynthesis"",""Growth"",""Movement""]",1,2026-06-07T18:25:59.983811+00:00,,pyq,false,,,,none,,,,,,,,,,,en,live,,,,,
b32c2765-a5d8-443e-92db-f520c48db870,,Biology,Biological Classification,Viruses and viroids,Medium,60,Select the wrong statement:,"[""Mosaic disease in tobacco and AIDS in humans are caused by viruses"",""The viroids were discovered by D.J. Ivanowski"",""W.M. Stanley showed that viruses could be crystallized"",""The term contagium vivum fluidum was coined by M.W. Beijerinck""]",1,2026-06-07T18:25:59.983811+00:00,,pyq,false,,,,none,,,,,,,,,,,en,live,,,,,
eb8f3c38-6af2-4644-8701-6c297d33b9b2,,Biology,Biological Classification,Deuteromycetes,Medium,50,The imperfect fungi that decompose litter and aid in mineral cycling belong to:,"[""Ascomycetes"",""Deuteromycetes"",""Basidiomycetes"",""Phycomycetes""]",1,2026-06-07T18:25:59.983811+00:00,,pyq,false,,,,none,,,,,,,,,,,en,live,,,,,
