id,attempt_id,question_id,picked_index,time_sec,first_answer_index
061b565d-5e60-4e6c-ab71-f98f1df51224,f6153f22-f526-412b-bc08-578061a6f7a8,55dacaa0-963b-4995-8353-d4ede5762444,3,48,
399ff341-793f-40c8-9a0c-5ade85139e7b,6678ab39-58f9-481e-b390-df80f2c6bc27,55dacaa0-963b-4995-8353-d4ede5762444,,27,
5fde5fcf-efa8-4447-983e-52eb709320b6,a0d90108-9793-490f-9b50-771dfb7b2ec2,55dacaa0-963b-4995-8353-d4ede5762444,3,125,
962080d6-97b2-43e6-8f8b-92715ee8df6d,688c7c21-0998-40a3-b92f-3659b4998bbb,55dacaa0-963b-4995-8353-d4ede5762444,3,56,
b9bc9582-7d70-4c4f-8fef-8e671f28ffa7,b84c26f7-7d22-4280-ae8a-787bc57857d1,55dacaa0-963b-4995-8353-d4ede5762444,3,82,
2c59a777-d40d-4440-8a83-361ff97b9abf,e6199837-22d3-4709-9b60-d05c43e079e9,55dacaa0-963b-4995-8353-d4ede5762444,0,71,
d18861a4-a8e1-45d2-b1f8-f13eb28960b5,65e17bb5-13d9-4e7d-a8cc-cee75654f036,55dacaa0-963b-4995-8353-d4ede5762444,3,80,
97e4b81e-4c91-4ea1-9b4f-aef2a6cf63af,84cf16c6-4194-4252-bde2-88bc24b27521,55dacaa0-963b-4995-8353-d4ede5762444,2,41,
aa1cdf87-098f-4ef6-89bd-51cbec74a9e1,deefb95f-9c53-48d9-9c01-7680cb3934ac,55dacaa0-963b-4995-8353-d4ede5762444,0,18,
5b7ffd67-f48e-461b-b183-763f96052a06,4bdb5833-9d5a-4559-bf81-1b1c4cb126e4,55dacaa0-963b-4995-8353-d4ede5762444,3,48,
840f4c77-1251-443b-8bec-8c35cbc59cfc,f3858dd1-7ebd-45bf-8aa4-23a427ca054f,55dacaa0-963b-4995-8353-d4ede5762444,1,84,
d12d98b7-3f82-4190-816f-6d1102d1fac8,047a368e-04c1-4052-904b-fa2f6ce7322f,55dacaa0-963b-4995-8353-d4ede5762444,0,68,
b1dc3651-623e-4557-8ea2-b1505faef2e5,a2385766-266d-48b8-ade0-b029d7a4f6d6,55dacaa0-963b-4995-8353-d4ede5762444,3,81,
a09e6ade-9e93-484f-9cf9-d2a62db2182f,f515f682-1730-48fb-b7db-1e696316c483,55dacaa0-963b-4995-8353-d4ede5762444,2,82,
1bb50c0b-01d2-4065-80eb-14dbf046a035,ed2a3646-9d70-479c-9405-dff7be1a4445,55dacaa0-963b-4995-8353-d4ede5762444,3,97,
c28b2bf7-9b64-4165-babc-e7a04165a687,bab006f2-4683-4a03-93dd-dbeaff388ec9,55dacaa0-963b-4995-8353-d4ede5762444,3,60,
88d1ca26-0e68-43c6-b768-9be01d7a5f16,d9ebf117-0d10-4ceb-bfb1-b88ea2bbda6b,55dacaa0-963b-4995-8353-d4ede5762444,0,82,
acbefadc-c2a9-4ca0-99b8-18434a43d22c,c9f558f3-e390-4019-a635-b00089ec8ccc,db0800b4-a8ed-46f1-8b40-6be3142d3b1e,2,68,
