subject,chapter,concept,difficulty,par_time_sec,question_text,option_a,option_b,option_c,option_d,correct_option
Physics,System of Particles and Rotational Motion,System of Particles and Rotational Motion,,60,"From a disc of radius R and mass M, a circular hole of diameter R, whose rim passes through the centre is cut. What is the moment of inertia of the remaining part of the disc about a perpendicular axis, passing through the centre?",15 MR2/32,13 MR2/32,11 MR2/32,9 MR2/32,B
Physics,Moving Charges and Magnetism,Moving Charges and Magnetism,,60,"A square loop ABCD carrying a current i, is placed near and coplanar with a long straight conductor XY carrying a current I, the net force on the loop will be: Phase-1 (Code:A-P-W) Physics 2",2μ0Ii 3π,μ0Ii 2π,2μ0IiL 3π,μ0IiL 2π,A
Physics,Magnetism and Matter,Magnetism and Matter,,60,The magnetic susceptibility is negative for:,diamagnetic material only,paramagnetic material only,ferromagnetic material only,paramagnetic and ferromagnetic materials,A
Physics,Wave Optics,Wave Optics,,60,"In a diffraction pattern due to a single slit of width ‘a’, the first minimum is observed at an angle 30o when light of wavelength 5000 Å is incident on the slit. The first secondary maximum is observed at an angle of:",sin−1 (1 4),sin−1 (2 3),sin−1 (1 2),sin−1 (3 4),D
Physics,Electromagnetic Waves,Electromagnetic Waves,,60,Out of the following options which one can be used to produce a propagating electromagnetic wave?,A charge moving at constant velocity,A stationary charge,A chargeless particle,An accelerating charge,D
Physics,Electric Charges and Fields,Electric Charges and Fields,,60,"Two identical charged spheres suspended from a common point by two massless strings of lengths 𝑙, are initially at a distance d(d < < 𝑙) apart because of their mutual repulsion. The charges begin to leak from both the spheres at a constant rate. As a result, the spheres approach each other with a velocity υ. Then υ varies as a function of the distance 𝑥 between the spheres, as",υ ∝ x1 2,υ ∝ x,υ ∝ x−1 2,υ ∝ x−1,C
Physics,Laws of Motion,Laws of Motion,,60,"A uniform rope of length L and mass m1, hangs vertically from a rigid support. A block of mass m2 is attached to the free end of the rope. A transverse pulse of wavelength λ1 is produced at the lower end of the rope. The wavelength of the pulse when it reaches the top of the rope is λ2. The ratio λ2/λ1 is:",√m1 m2,√m1+m2 m2,√m1 m2,√m1+m2 m1,B
Physics,Waves,Waves,,60,"An air column, closed at one end and open at the other, resonates with a tuning fork when the smallest length of the column is 50 cm. The next larger length of the column resonating with the same tuning fork is:",66.7 cm,100 cm,150 cm,200 cm,C
Physics,Thermal Properties of Matter,Thermal Properties of Matter,,60,"A black body is at a temperature of 5760 K. The energy of radiation emitted by the body at wavelength 250 nm is U1, at wavelength 500 nm is U2 and that at 1000 nm is U3. Wien’s constant, b = 2.88 × 106 nmK. Which of the following is correct?",U1 = 0,U3 = 0,U1 > U2,U2 > U1,C
Physics,Thermal Properties of Matter,Thermal Properties of Matter,,60,"Coefficient of linear expansion of brass and steel rods are α1 and α2. Lengths of brass and steel rods are 𝑙1 and 𝑙2 respectively. If (𝑙2 − 𝑙1) is maintained same at all temperatures, which one of the following relations holds good?",α1 2𝑙2 = α2 2𝑙1,α1𝑙2 2 = α2𝑙1 2,α1 2𝑙2 = α2 2𝑙1,α1𝑙1 = α2𝑙2,D
Physics,Waves,Waves,,60,"The intensity at the maximum in a Young’s double slit experiment is I0. Distance between two slits is d = 5λ, where λ is the wavelength of light used in the experiment. What will be the intensity in front of one of the slits on the screen placed at a distance D = 10 d?",I0,I0 4,3 4 I0,I0 2,D
Physics,Laws of Motion,Laws of Motion,,60,A disk and a sphere of same radius but different masses roll off on two inclined planes of the same altitude and length. Which one of the two objects gets to the bottom of the plane first?,Disk,Sphere,Both reach at the same time,Depends on their masses,B
Physics,Ray Optics and Optical Instruments,Ray Optics and Optical Instruments,,60,"The angle of incidence for a ray of light at a refracting surface of a prism is 45o. The angle of prism is 60o. If the ray suffers minimum deviation through the prism, the angle of minimum deviation and refractive index of the material of the prism respectively, are:",45o; 1 √2,30o; √2,45o; √2,30o; 1 √2,B
Physics,Nuclei,Nuclei,,60,"When an α-particle of mass ‘m’ moving with velocity ‘v’ bombards on a heavy nucleus of charge ‘Ze’, its distance of closest approach from the nucleus depends on m as:",1 m,1 √m,1 m2,𝑚,A
