subject,chapter,concept,difficulty,par_time_sec,par_seconds,question_text,option_a,option_b,option_c,option_d,correct_option,year,q_no
Biology,Cell: The Unit of Life,Cell: The Unit of Life,,90,,Which of the following pair of organelles does not contain DNA?,Nuclear envelope and Mitochondria,Mitochondria and Lysosomes,Chloroplast and Vacuoles,Lysosomes and Vacuoles,D,2019,7
Biology,Biodiversity and Conservation,Biodiversity and Conservation,,90,,The Earth Summit held in Rio de Janeiro in 1992 was called,for immediate steps to discontinue use of CFCs that were damaging the ozone layer,to reduce CO2 emissions and global warming,for conservation of biodiversity and sustainable utilization of its benefits,to assess threat posed to native species by invasive weed species,C,2019,9
Biology,Molecular Basis of Inheritance,Molecular Basis of Inheritance,,90,,Purines found both in DNA and RNA are,Cytosine and thymine,Adenine and thymine,Adenine and guanine,Guanine and cytosine,C,2019,10
Biology,Chemical Coordination and Integration,Chemical Coordination and Integration,,90,,Match the following hormones with the respective disease (a) Insulin (i) Addison's disease (b) Thyroxin (ii) Diabetes insipidus (c) Corticoids (iii) Acromegaly (d) Growth Hormone (iv) Goitre (v) Diabetes mellitus Select the correct option. (a) (b) (c) (d),(ii) (iv) (i) (iii),(v) (i) (ii) (iii),(ii) (iv) (iii) (i),(v) (iv) (i) (iii),D,2019,11
Biology,Cell: The Unit of Life,Cell: The Unit of Life,,90,,Which of the following statements is not correct?,Lysosomes are formed by the process of packaging in the endoplasmic reticulum,Lysosomes have numerous hydrolytic enzymes,The hydrolytic enzymes of lysosomes are active under acidic pH,Lysosomes are membrane bound structures,A,2019,19
Biology,Neural Control and Coordination,Neural Control and Coordination,,90,,Which part of the brain is responsible for thermoregulation?,Medulla oblongata,Cerebrum,Hypothalamus,Corpus callosum,C,2019,21
Biology,Body Fluids and Circulation,Body Fluids and Circulation,,90,,"What would be the heart rate of a person if the cardiac output is 5 L, blood volume in the ventricles at the end of diastole is 100 mL and at the end of ventricular systole is 50 mL?",125 beats per minute,50 beats per minute,75 beats per minute,100 beats per minute,D,2019,27
Biology,Plant Kingdom,Plant Kingdom,,90,,"From evolutionary point of view, retention of the female gametophyte with developing young embryo on the parent sporophyte for some time, is first observed in",Gymnosperms,Liverworts,Mosses,Pteridophytes,D,2019,28
Biology,Mineral Nutrition,Mineral Nutrition,,90,,Thiobacillus is a group of bacteria helpful in carrying out,Denitrification,Nitrogen fixation,Chemoautotrophic fixation,Nitrification,A,2019,38
Biology,Breathing and Exchange of Gases,Breathing and Exchange of Gases,,90,,"Due to increasing air-borne allergens and pollutants, many people in urban areas are suffering from respiratory disorder causing wheezing due to",reduction in the secretion of surfactants by pneumocytes.,benign growth on mucous lining of nasal cavity,inflammation of bronchi and bronchioles,proliferation of fibrous tissues and damage of the alveolar walls,C,2019,39
Biology,Sexual Reproduction in Flowering Plants,Sexual Reproduction in Flowering Plants,,90,,Which one of the following statements regarding post-fertilization development in flowering plants is incorrect?,Ovules develop into embryo sac,Ovary develops into fruit,Zygote develops into embryo,Central cell develops into endosperm,A,2019,46
Biology,Molecular Basis of Inheritance,Molecular Basis of Inheritance,,90,,Expressed Sequence Tags (ESTs) refers to :,Novel DNA sequences,Genes expressed as RNA,Polypeptide expression,DNA polymorphism 11 NEET (UG)-2019 (Code- 1) R,B,2019,52
Biology,Biological Classification,Biological Classification,,90,,Match Column - I with Column - II Column - I Column - II (a) Saprophyte (i) Symbiotic association of fungi with plant roots (b) Parasite (ii) Decomposition of dead organic materials (c) Lichens (iii) Living on living plants or animals (d) Mycorrhiza (iv) Symbiotic association of algae and fungi Choose the correct answer from the option given below (a) (b) (c) (d),(ii) (iii) (iv) (i),(i) (ii) (iii) (iv),(iii) (ii) (i) (iv),(ii) (i) (iii) (iv) NEET (UG)-2019 (Code- 1) R 12,A,2019,56
Biology,Biotechnology - Principles and Processes,Biotechnology - Principles and Processes,,90,,Which of the following is true for Golden rice?,"It has yellow grains, because of a gene introduced from a primitive variety of rice","It is Vitamin A enriched, with a gene from daffodil","It is pest resistant, with a gene from Bacillus thuringiensis","It is drought tolerant, developed using Agrobacterium vector",B,2019,57
Biology,Animal Kingdom,Animal Kingdom,,90,,Consider following features (a) Organ system level of organisation (b) Bilateral symmetry (c) True coelomates with segmentation of body Select the correct option of animal groups which possess all the above characteristics,"Annelida, Mollusca and Chordata","Annelida, Arthropoda and Chordata","Annelida, Arthropoda and Mollusca","Arthropoda, Mollusca and Chordata NEET (UG)-2019 (Code- 1) R 14",B,2019,66
Biology,Biological Classification,Biological Classification,,90,,Which of the following statements is incorrect?,Prions consist of abnormally folded proteins.,Viroids lack a protein coat.,Viruses are obligate parasites.,Infective constituent in viruses is the protein coat.,D,2019,75
Biology,Human Health and Disease,Human Health and Disease,,90,,Identify the correct pair representing the causative agent of typhoid fever and the confirmatory test for typhoid.,Salmonella typhi / Widal test,Plasmodium vivax / UTI test,Streptococcus pneumoniae / Widal test,Salmonella typhi / Anthrone test,A,2019,82
Biology,Plant Growth and Development,Plant Growth and Development,,90,,It takes very long time for pineapple plants to produce flowers. Which combination of hormones can be applied to artificially induce flowering in pineapple plants throughout the year to increase yield?,Cytokinin and Abscisic acid,Auxin and Ethylene,Gibberellin and Cytokinin,Gibberellin and Abscisic acid,B,2019,84
Biology,Breathing and Exchange of Gases,Breathing and Exchange of Gases,,90,,"Tidal Volume and Expiratory Reserve Volume of an athlete is 500 mL and 1000 mL, respectively. What will be his Expiratory Capacity if the Residual Volume is 1200 mL?",2700 mL,1500 mL,1700 mL,2200 mL,B,2019,87
Biology,Biodiversity and Conservation,Biodiversity and Conservation,,90,,Which one of the following is not a method of in situ conservation of biodiversity?,Sacred Grove,Biosphere Reserve,Wildlife Sanctuary,Botanical Garden,D,2019,88
Biology,Excretory Products and their Elimination,Excretory Products and their Elimination,,90,,Which of the following factors is responsible for the formation of concentrated urine?,Hydrostatic pressure during glomerular filtration,Low levels of antidiuretic hormone,Maintaining hyperosmolarity towards inner medullary interstitium in the kidneys.,Secretion of erythropoietin by Juxtaglomerular complex,C,2019,89
Physics,Ray Optics and Optical Instruments,Ray Optics and Optical Instruments,,60,,"Two similar thin equi-convex lenses, of focal length f each, are kept coaxially in contact with each other such that the focal length of the combination is F1. When the space between the two lenses is filled with glycerine (which has the same refractive index ( = 1.5) as that of glass) then the equivalent focal length is F2. The ratio F1 : F2 will be :",3 : 4,2 : 1,1 : 2,2 : 3,C,2019,93
Physics,Ray Optics and Optical Instruments,Ray Optics and Optical Instruments,,60,,"In total internal reflection when the angle of incidence is equal to the critical angle for the pair of media in contact, what will be angle of refraction?",90°,180°,0°,Equal to angle of incidence,A,2019,96
Physics,Electrostatic Potential and Capacitance,Electrostatic Potential and Capacitance,,60,,"A parallel plate capacitor of capacitance 20 F is being charged by a voltage source whose potential is changing at the rate of 3 V/s. The conduction current through the connecting wires, and the displacement current through the plates of the capacitor, would be, respectively","Zero, zero","Zero, 60 A","60 A, 60 A","60 A, zero",C,2019,98
Physics,Oscillations,Oscillations,,60,,The displacement of a particle executing simple harmonic motion is given by y = A0 + Asint + Bcost Then the amplitude of its oscillation is given by :,A + B,  2 2 0 A A B, 2 2 A B,  2 2 0 A (A B),C,2019,104
