subject,chapter,concept,difficulty,par_time_sec,par_seconds,question_text,option_a,option_b,option_c,option_d,correct_option,year,q_no,review_status,reason,kw_chapter
Physics,Work Energy and Power,Work Energy and Power,,60,,"A body is executing simple harmonic motion with frequency ‘n’, the frequency of its potential energy is : (1) n (2) 2n (3) 3n (4) 4n 4. The equivalent capacitance of the combination shown in the figure is :",3C,2C,C/2,3C/2,B,2021,3,fixable_figure,figure_hint keyword detected,
Physics,Electrostatic Potential and Capacitance,Electrostatic Potential and Capacitance,,60,,A dipole is placed in an electric field as shown. In which direction will it move ?,towards the left as its potential energy will increase.,towards the right as its potential energy will decrease.,towards the left as its potential energy will decrease.,towards the right as its potential energy will increase.,B,2021,6,fixable_figure,figure_hint keyword detected,
Physics,Current Electricity,Current Electricity,,60,,An infinitely long straight conductor carries a current of 5 A as shown. An electron is moving with a speed of 105 m/s parallel to the conductor. The perpendicular distance between the electron and the conductor is 20 cm at an instant. Calculate the magnitude of the force experienced by the electron at that instant.,4×10−20 N,8π×10−20 N,4π×10−20 N,8×10−20 N,D,2021,17,fixable_figure,figure_hint keyword detected,
Physics,Electrostatic Potential and Capacitance,Electrostatic Potential and Capacitance,,60,,"An inductor of inductance L, a capacitor of capacitance C and a resistor of resistance ‘R’ are connected in series to an ac source of potential difference ‘V’ volts as shown in figure. Potential difference across L, C and R is 40 V, 10 V and 40 V, respectively. The amplitude of current flowing through LCR series circuit is 10 2 A. The impedance of the circuit is :",Ω 4 2,5 2 Ω,4 Ω,5 Ω,D,2021,20,fixable_figure,figure_hint keyword detected,
Physics,,,,90,,A thick current carrying cable of radius ‘R’ carries current ‘I’ uniformly distributed across its cross-section. The variation of magnetic field B(r) due to the cable with the distance ‘r’ from the ax,,,,,C,2021,26,unusable_parse_fail,could not split 4 options,
Physics,Current Electricity,Current Electricity,,60,,"In a potentiometer circuit a cell of EMF 1.5 V gives balance point at 36 cm length of wire. If another cell of EMF 2.5 V replaces the first cell, then at what length of the wire, the balance point occurs ?",60 cm,21.6 cm,64 cm,62 cm,A,2021,27,fixable_figure,figure_hint keyword detected,
Physics,,,,90,,"For the given circuit, the input digital signals are applied at the terminals A, B and C. What would be the output at the terminal y ? (1) (2) (3) (4)",,,,,C,2021,38,unusable_parse_fail,could not split 4 options,
Physics,Work Energy and Power,Work Energy and Power,,60,,"A series LCR circuit containing 5.0 H inductor, 80 µF capacitor and 40 Ω resistor is connected to 230 V variable frequency ac source. The angular frequencies of the source at which power transferred to the circuit is half the power at the resonant angular frequency are likely to be :",25 rad/s and 75 rad/s,50 rad/s and 25 rad/s,46 rad/s and 54 rad/s,42 rad/s and 58 rad/s,C,2021,39,fixable_figure,figure_hint keyword detected,
Physics,Unclassified,Unclassified,,60,,A uniform rod of length 200 cm and mass 500 g is balanced on a wedge placed at 40 cm mark. A mass of 2 kg is suspended from the rod at 20 cm and another unknown mass ‘m’ is suspended from the rod at 160 cm mark as shown in the figure. Find the value of ‘m’ such that the rod is in equilibrium. (g=10 m/s2),1 kg 2,1 kg 3,1 kg 6,1 kg 12,D,2021,40,fixable_figure,figure_hint keyword detected,
Physics,Work Energy and Power,Work Energy and Power,,60,,"A step down transformer connected to an ac mains supply of 220 V is made to operate at 11 V, 44 W lamp. Ignoring power losses in the transformer, what is the current in the primary circuit ?",0.2 A,0.4 A,2 A,4 A,A,2021,46,fixable_figure,figure_hint keyword detected,
Physics,Current Electricity,Current Electricity,,60,,"Three resistors having resistances r1, r2 and r3 are connected as shown in the given circuit. The ratio 3 1 i i of currents in terms of resistances used in the circuit is :",1 2 3 r r r +,2 2 3 r r r +,1 1 2 r r r +,2 1 3 r r r +,B,2021,49,fixable_figure,figure_hint keyword detected,
Chemistry,Unclassified,Unclassified,,60,,Which one of the following methods can be used to obtain highly pure metal which is liquid at room temperature ?,Electrolysis,Chromatography,Distillation,Zone refining,C,2021,59,fixable_figure,figure_hint keyword detected,
Chemistry,,,,90,,"For a reaction A→B, enthalpy of reaction is −4.2 kJ mol−1 and enthalpy of activation is 9.6 kJ mol−1. The correct potential energy profile for the reaction is shown in option. (1) (2) (3) (4)",,,,,B,2021,60,unusable_parse_fail,could not split 4 options,
Chemistry,,,,90,,The major product of the following chemical reaction is : (1) (2) (3) (4) 11 M4,,,,,A,2021,62,unusable_parse_fail,could not split 4 options,
Chemistry,,,,90,,"Choose the correct option for graphical representation of Boyle’s law, which shows a graph of pressure vs. volume of a gas at different temperatures : (1) (2) (3) (4)",,,,,D,2021,63,unusable_parse_fail,could not split 4 options,
Chemistry,,,,90,,Identify the compound that will react with Hinsberg’s reagent to give a solid which dissolves in alkali. (1) (2) (3) (4),,,,,C,2021,79,unusable_parse_fail,could not split 4 options,
Chemistry,,,,90,,"The correct structure of 2,6-Dimethyl-dec-4-ene is : (1) (2) (3) (4)",,,,,A,2021,82,unusable_parse_fail,could not split 4 options,
Chemistry,,,,90,,The product formed in the following chemical reaction is : (1) (2) (3) (4),,,,,D,2021,88,unusable_parse_fail,could not split 4 options,
Chemistry,,,,90,,The intermediate compound ‘X’ in the following chemical reaction is : (1) (2) (3) (4),,,,,A,2021,99,unusable_parse_fail,could not split 4 options,
Biology,Unclassified,Unclassified,,90,,"The production of gametes by the parents, formation of zygotes, the F1 and F2 plants, can be understood from a diagram called :",Bullet square,Punch square,Punnett square,Net square,C,2021,105,fixable_figure,figure_hint keyword detected,
Biology,Nuclei,Nuclei,,90,,"Now a days it is possible to detect the mutated gene causing cancer by allowing radioactive probe to hybridise its complimentary DNA in a clone of cells, followed by its detection using autoradiography because :",mutated gene partially appears on a photographic film.,mutated gene completely and clearly appears on a photographic film.,mutated gene does not appear on a photographic film as the probe has no complimentarity with it.,mutated gene does not appear on photographic film as the probe has complimentarity with it.,C,2021,148,fixable_figure,figure_hint keyword detected,
Physics,,,,90,,,,,,,,2021,4,unusable_no_answer,not in NTA key file,
Physics,Alternating Current,Alternating Current,,60,,"A capacitor of capacitance ‘C’, is connected across an ac source of voltage V, given by V=V0 sinωt The displacement current between the plates of the capacitor, would then be given by :",Id=V0 ωCcosωt,= ω ω 0 d V I cos t C,= ω ω 0 d V I sin t C,Id=V0 ωCsinωt,D,2021,2,llm_flagged,llm=Alternating Current; kw_score=1 kw=Electrostatic Potential and Capacitance,Electrostatic Potential and Capacitance
Physics,Kinetic Theory,Kinetic Theory,,60,,Match Column - I and Column - II and choose the correct match from the given choices. Column - I Column - II (A) Root mean square (P) 2 1 nm 3 v speed of gas molecules (B) Pressure exerted (Q) 3 RT M by ideal gas (C) Average kinetic energy (R) 5 RT 2 of a molecule (D) Total internal energy (S) B 3 k T 2 of 1 mole of a diatomic gas,"(A) - (R), (B) - (P), (C) - (S), (D) - (Q)","(A) - (Q), (B) - (R), (C) - (S), (D) - (P)","(A) - (Q), (B) - (P), (C) - (S), (D) - (R)","(A) - (R), (B) - (Q), (C) - (P), (D) - (S) 3 M4",C,2021,7,llm_flagged,llm=Kinetic Theory; kw_score=1 kw=Work Energy and Power,Work Energy and Power
Physics,Units and Measurements,Units and Measurements,,60,,"If force [ F ], acceleration [ A ] and time [ T ] are chosen as the fundamental physical quantities. Find the dimensions of energy.",[ F ] [ A ] [ T ],[ F ] [ A ] [ T2 ],[ F ] [ A ] [ T−1 ],[ F ] [ A−1 ] [ T ],B,2021,9,llm_flagged,llm=Units and Measurements; kw_score=1 kw=Units and Measurements,Units and Measurements
Physics,Thermal Properties of Matter,Thermal Properties of Matter,,60,,"A cup of coffee cools from 908C to 808C in t minutes, when the room temperature is 208C. The time taken by a similar cup of coffee to cool from 808C to 608C at a room temperature same at 208C is :",13 t 10,13 t 5,10 t 13,5 t 13,B,2021,10,llm_flagged,llm=Thermal Properties of Matter; kw_score=0 kw=Unclassified,Unclassified
