subject,chapter,concept,difficulty,par_time_sec,par_seconds,question_text,option_a,option_b,option_c,option_d,correct_option,year,q_no
Physics,Current Electricity,Current Electricity,,60,,"A potentiometer is an accurate and versatile device to make electrical measurements of E.M.F, because the method involves :",Cells,Potential gradients,A condition of no current flow through the galvanometer,"A combination of cells, galvanometer and resistances",C,2017,1
Physics,Atoms,Atoms,,60,,The ratio of wavelengths of the last line of Balmer series and the last line of Lyman series is,2,1,4,0.5,C,2017,13
Physics,Current Electricity,Current Electricity,,60,,"In a common emitter transistor amplifier the audio signal voltage across the collector is 3 V. The resistance of collector is 3 k. If current gain is 100 and the base resistance is 2 k, the voltage and power gain of the amplifier is",200 and 1000,15 and 200,150 and 15000,20 and 2000,C,2017,21
Physics,System of Particles and Rotational Motion,System of Particles and Rotational Motion,,60,,Which of the following statements are correct? (a) Centre of mass of a body always coincides with the centre of gravity of the body. (b) Centre of mass of a body is the point at which the total gravitational torque on the body is zero (c) A couple on a body produce both translational and rotational motion in a body. (d) Mechanical advantage greater than one means that small effort can be used to lift a large load.,(b) and (d),(a) and (b),(b) and (c),(c) and (d),A,2017,26
Physics,Current Electricity,Current Electricity,,60,,"A long solenoid of diameter 0.1 m has 2 × 104 turns per meter. At the centre of the solenoid, a coil of 100 turns and radius 0.01 m is placed with its axis coinciding with the solenoid axis. The current in the solenoid reduces at a constant rate to 0 A from 4 A in 0.05 s. If the resistance of the coil is 102 , the total charge flowing through the coil during this time is",32C,16 C,32 C,16C,C,2017,38
Physics,Ray Optics and Optical Instruments,Ray Optics and Optical Instruments,,60,,A thin prism having refracting angle 10° is made of glass of refractive index 1.42. This prism is combined with another thin prism of glass of refractive index 1.7. This combination produces dispersion without deviation. The refracting angle of second prism should be,4°,6°,8°,10°,B,2017,44
Chemistry,Chemistry in Everyday Life,Chemistry in Everyday Life,,60,,Mixture of chloroxylenol and terpineol acts as,Analgesic,Antiseptic,Antipyretic,Antibiotic,B,2017,49
Chemistry,Organic Chemistry - Some Basic Principles and Techniques,Organic Chemistry - Some Basic Principles and Techniques,,60,,The correct statement regarding electrophile is,Electrophile is a negatively charged species and can form a bond by accepting a pair of electrons from a nucleophile,Electrophile is a negatively charged species and can form a bond by accepting a pair of electrons from another electrophile,Electrophiles are generally neutral species and can form a bond by accepting a pair of electrons from a nucleophile,Electrophile can be either neutral or positively charged species and can form a bond by accepting a pair of electrons from a nucleophile,D,2017,70
Chemistry,Some Basic Concepts of Chemistry,Some Basic Concepts of Chemistry,,60,,Which of the following is dependent on temperature?,Molality,Molarity,Mole fraction,Weight percentage,B,2017,76
Chemistry,Alcohols Phenols and Ethers,Alcohols Phenols and Ethers,,60,,The heating of phenyl-methyl ethers with HI produces.,Ethyl chlorides,Iodobenzene,Phenol,Benzene,C,2017,83
Biology,Plant Kingdom,Plant Kingdom,,90,,Double fertilization is exhibited by,Gymnosperms,Algae,Fungi,Angiosperms,D,2017,91
Biology,Biological Classification,Biological Classification,,90,,Which of the following are found in extreme saline conditions?,Archaebacteria,Eubacteria,Cyanobacteria,Mycobacteria,A,2017,92
Biology,Body Fluids and Circulation,Body Fluids and Circulation,,90,,The hepatic portal vein drains blood to liver from,Heart,Stomach,Kidneys,Intestine,D,2017,99
Biology,Molecular Basis of Inheritance,Molecular Basis of Inheritance,,90,,The final proof for DNA as the genetic material came from the experiments of,Griffith,Hershey and Chase,"Avery, Mcleod and McCarty",Hargobind Khorana,B,2017,100
Biology,Cell Cycle and Cell Division,Cell Cycle and Cell Division,,90,,Which of the following options gives the correct sequence of events during mitosis?,Condensation  nuclear membrane disassembly crossing over  segregation  telophase,Condensation  nuclear membrane disassembly arrangement at equator  centromere division  segregation  telophase,Condensation  crossing over  nuclear membrane disassembly  segregation  telophase,Condensation  arrangement at equator  centromere division  segregation  telophase,B,2017,102
Biology,Molecular Basis of Inheritance,Molecular Basis of Inheritance,,90,,"During DNA replication, Okazaki fragments are used to elongate",The leading strand towards replication fork,The lagging strand towards replication fork,The leading strand away from replication fork,The lagging strand away from the replication fork,D,2017,104
Biology,Biological Classification,Biological Classification,,90,,Spliceosomes are not found in cells of,Plants,Fungi,Animals,Bacteria,D,2017,111
Biology,Cell: The Unit of Life,Cell: The Unit of Life,,90,,Which of the following cell organelles is responsible for extracting energy from carbohydrates to form ATP?,Lysosome,Ribosome,Chloroplast,Mitochondrion,D,2017,114
Biology,Biological Classification,Biological Classification,,90,,Viroids differ from viruses in having :,DNA molecules with protein coat,DNA molecules without protein coat,RNA molecules with protein coat,RNA molecules without protein coat,D,2017,117
Biology,Biodiversity and Conservation,Biodiversity and Conservation,,90,,Which one of the following is related to Ex-situ conservation of threatened animals and plants?,Wildlife Safari parks,Biodiversity hot spots,Amazon rainforest,Himalayan region,A,2017,121
