subject,chapter,concept,difficulty,par_time_sec,par_seconds,question_text,option_a,option_b,option_c,option_d,correct_option,year,q_no
Physics,Moving Charges and Magnetism,Moving Charges and Magnetism,,40,40,A long solenoid of 50 cm length having 100 turns carries a current of 2.5 A. The magnetic field at the centre of the solenoid is : ( ) 7 1 0 4 10 TmA − −  = ,3.14 × 10–4 T,6.28 × 10–5 T,3.14 × 10–5 T,6.28 × 10–4 T,D,2020,3
Physics,Ray Optics and Optical Instruments,Ray Optics and Optical Instruments,,40,40,"A ray is incident at an angle of incidence i on one surface of a small angle prism (with angle of prism A) and emerges normally from the opposite surface. If the refractive index of the material of the prism is , then the angle of incidence is nearly equal to :",2A ,A ,A 2 ,A 2,B,2020,4
Physics,Electrostatic Potential and Capacitance,Electrostatic Potential and Capacitance,,30,30,"In a certain region of space with volume 0.2 m3, the electric potential is found to be 5V throughout. The magnitude of electric field in this region is :",0.5 N/C,1 N/C,5 N/C,zero,D,2020,5
Physics,Semiconductor Electronics,Semiconductor Electronics,,20,20,The increase in the width of the depletion region in a p-n junction diode is due to :,reverse bias only,both forward bias and reverse bias,increase in forward current,forward bias only,A,2020,17
Physics,Electrostatic Potential and Capacitance,Electrostatic Potential and Capacitance,,30,30,"A short electric dipole has a dipole moment of 16 × 10–9 C m. The electric potential due to the dipole at a point at a distance of 0.6 m from the cent re of the dipole, situated on a line making an angle of 60° with the dipole axis is : 9 2 2 0 1 9 10 Nm C 4   =      ",200 V,400 V,zero,50 V,A,2020,23
Physics,Waves,Waves,,30,30,"In a guitar, two strings A and B made of same material are slightly out of tune and produce beats of frequency 6 Hz. When tension in B is slightly decreased, the beat frequency increases t o 7 Hz. If the frequency of A is 530 Hz, the original frequency of B will be",524 Hz,536 Hz,537 Hz,523 Hz,A,2020,26
Physics,Electrostatic Potential and Capacitance,Electrostatic Potential and Capacitance,,30,30,"The capacitance of a parallel plate capacitor with air as medium is 6 F. With the introduction of a dielectric medium, the capacitance becomes 30 F. The permittivity of the medium is : ( ) 12 2 1 2 0 8.85 10 C N m − − − = ",1.77 × 10–12 C2 N–1 m–2,0.44 × 10–10 C2 N–1 m–2,5.00 C2 N–1 m–2,0.44 × 10–13 C2 N–1 m–2,B,2020,29
Physics,Wave Optics,Wave Optics,,40,40,"In Young’s double slit experiment, if the separation between coherent sources is halved and the distance of the screen from the coherent sources is doubled, then the fringe width becomes: Unacademy Select [21]",half,four times,one-fourth,double,B,2020,37
Physics,Thermodynamics,Thermodynamics,,20,20,Two cylinders A and B of equal capacity are connected to each other via a stop cock. A contains an ideal gas at standard temperature and pressure. B is completely evacuated. The entire system is thermally insulated. The stop cock is suddenly opened. The process is:,adiabatic,isochoric,isobaric,isothermal,A,2020,38
Chemistry,Amines,Amines,,25,25,Reaction of propanamide with ethanolic sodium hydroxide and bromine will give,Ethylamine,Methylamine,Propylamine,Aniline,A,2020,3
Chemistry,Polymers,Polymers,,25,25,Which of the following statement is correct about Bakelite?,It is a cross linked polymer.,It is an addition polymer.,It is a branched chain polymer.,It is a linear polymer.,A,2020,9
Chemistry,Redox Reactions,Redox Reactions,,25,25,Match the following aspects with the respective metal. Aspects Metal (a) The metal which reveals a (i) Scandium Maximum number of oxidation states. (b) The metal although placed in 3d (ii) Copper Block is considered not as transition element. (c) The metal which does not exhibit (iii) Manganese Variable oxidation states. (d) The metal which in +1 oxidation state (iv) Zinc In aqueous solution undergoes disproportionation. Select the correct option :,"(a)-(i), (b)-(iv), (c)-(ii), (d)-(iii) Unacademy Select [37]","(a)-(iii), (b)-(iv), (c)-(i), (d)-(ii)","(a)-(iii), (b)-(i), (c)-(iv), (d)-(ii)","(a)-(ii), (b)-(iv), (c)-(i), (d)-(iii)",B,2020,18
Chemistry,The s-Block Elements,The s-Block Elements,,25,25,Identify the correct statement from the following.,The order of hydration enthalpies of alkaline earth cations Be2+ < Mg2+ < Ca2+ < Sr2+ < Ba2+,Lithium and Magnesium show some similarities in their physical properties as they are diagonally placed in periodic table.,Lithium is softer among all alkali metals.,"Lithium chloride is deliquescent and crystallises as a hydrate, LiCl·H2O.",B,2020,22
Chemistry,Solutions,Solutions,,15,15,Isotonic solutions have same,vapour pressure,freezing temperature,osmotic pressure,boiling temperature,C,2020,44
