subject,chapter,concept,difficulty,par_time_sec,par_seconds,question_text,option_a,option_b,option_c,option_d,correct_option,year,q_no
Physics,Electrostatic Potential and Capacitance,Electrostatic Potential and Capacitance,,60,,"The plates of a parallel plate capacitor are separated by d. Two slabs of different dielectric constant K1 and K2 with thickness 3 and , 8 2 d d respectively are inserted in the capacitor. Due to this, the capacitance becomes two times larger than when there is nothing between the plates. If K1 = 1.25 K2, the value of K1 is:",2.66,2.33,1.60,1.33,A,2025,20
Physics,Ray Optics and Optical Instruments,Ray Optics and Optical Instruments,,60,,An unpolarized light beam travelling in air is incident on a medium of refractive index 1.73 at Brewster's angle. Then-,reflected light is completely polarized and the angle of reflection is close to 60°,reflected light is partially polarized and the angle of reflection is close to 30°.,"both reflected and transmitted light are perfectly polarized with angles of reflection and refraction close to 60° and 30°, respectively.",transmitted light is completely polarized with angle of refraction close to 30°,A,2025,27
Physics,Electrostatic Potential and Capacitance,Electrostatic Potential and Capacitance,,60,,An electric dipole with dipole moment 5 × 10–6 Cm is aligned with the direction of a uniform electric field of magnitude 4 × 105 N/C. The dipole is then rotated through an angle of 60° with respect to the electric field. The change in the potential energy of the dipole is:,0.8 J,1.0 J,1.2 J,1.5 J,B,2025,35
Physics,Dual Nature of Radiation and Matter,Dual Nature of Radiation and Matter,,60,,A photon and an electron (mass m) have the same energy E. The ratio ( ) photon electron λ /λ of their de Broglie wavelengths is (c is the speed of light),/ 2 E m,2 c mE,2m c E,1 / 2 E m c [6] [Contd... NEET (UG)-2025 [Code – 45] ENGLISH,C,2025,37
Physics,Oscillations,Oscillations,,60,,"Two identical point masses P and Q, suspended from two separate massless springs of spring constants k1 and k2 respectively, oscillate vertically. If their maximum speeds are the same, the ratio (AQ/AP) of the amplitude AQ of mass Q to the amplitude AP of mass P is:",2 1 k k,1 2 k k,2 1 k k,1 2 k k,D,2025,44
Chemistry,Structure of Atom,Structure of Atom,,60,,"Which of the following statements are true? A. Unlike Ga that has a very high melting point, Cs has a very low melting point. B. On Pauling scale, the electronegativity values of N and Cl are not the same. C. Ar, K+, Cl–, Ca2+ and S2– are all isoelectronic species. D. The correct order of the first ionization enthalpies of Na, Mg, Al, and Si is Si > A > Mg > Na. E. The atomic radius of Cs is greater than that of Li and Rb. Choose the correct answer from the options given below:","A, B and E only",C and E only,C and D only,"A, C and E only",B,2025,47
Chemistry,Amines,Amines,,60,,The correct order of decreasing basic strength of the given amines is:,N-methylaniline > benzenamine > ethanamine > N-ethylethanamine,N-ethylethanamine > ethanamine > benzenamine > N-methylaniline,N-ethylethanamine > ethanamine > N- methylaniline > benzenamine,benzenamine > ethanamine > N-methylaniline > N-ethylethanamine [10] [Contd... NEET (UG)-2025 [Code – 45] ENGLISH,C,2025,67
Chemistry,Amines,Amines,,60,,"Given below are two statements: Statement I: Benzenediazonium salt is prepared by the reaction of aniline with nitrous acid at 273-278 K. It decomposes easily in the dry state. Statement II: Insertion of iodine into the benzene ring is difficult and hence iodobenzene is prepared through the reaction of benzenediazonium salt with KI. In the light of the above statements, choose the most appropriate answer from the options given below:",Both Statement I and Statement II are correct,Both Statement I and Statement II are incorrect,Statement I is correct but Statement II is incorrect,Statement I is incorrect but Statement II is correct,A,2025,74
Chemistry,Chemical Bonding and Molecular Structure,Chemical Bonding and Molecular Structure,,60,,Identify the correct orders against the property mentioned A. H2O > NH3 > CHCl3 - dipole moment B. XeF4 > XeO3 > XeF2 – number of lone pairs on central atom C. O–H > C–H > N–O – bond length D. N2 > O2 > H2 – bond enthalpy Choose the correct answer from the options given below:,"A, D only","B, D only","A, C only","B, C only",A,2025,87
Biology,Body Fluids and Circulation,Body Fluids and Circulation,,90,,What is the name of the blood vessel that carries deoxygenated blood from the body to the heart in a frog?,Aorta,Pulmonary artery,Pulmonary vein,Vena cava,D,2025,94
Biology,Molecular Basis of Inheritance,Molecular Basis of Inheritance,,90,,"Given below are two statements: Statement I: In the RNA world, RNA is considered the first genetic material evolved to carry out essential life processes. RNA acts as a genetic material and also as a catalyst for some important biochemical reactions in living systems. Being reactive, RNA is unstable. Statement II: DNA evolved from RNA and is a more stable genetic material. Its double helical strands being complementary, resist changes by evolving repairing mechanism. In the light of the above statements, choose the most appropriate answer from the options given below:",Both statement I and statement II are correct,Both statement I and statement II are incorrect,Statement I is correct but statement II is incorrect,Statement I is incorrect but statement II is correct,A,2025,96
Biology,Ecosystem,Ecosystem,,90,,"Given below are two statements: Statement I: The primary source of energy in an ecosystem is solar energy. Statement II: The rate of production of organic matter during photosynthesis in an ecosystem is called net primary productivity (NPP). In the light of the above statements, choose the most appropriate answer from the options given below:",Both statement I and statement II are correct,Both statement I and statement II are incorrect,Statement I is correct but statement II is incorrect,Statement I is incorrect but statement II is correct,C,2025,100
Biology,Breathing and Exchange of Gases,Breathing and Exchange of Gases,,90,,Match List-I with List-II. List-I List-II A. Emphysema I. Rapid spasms in muscle due to low Ca++ in body fluid B. Angina Pectoris II. Damaged alveolar walls and decreased respiratory surface C. Glomerulo- nephritis III. Acute chest pain when not enough oxygen is reaching to heart muscle D. Tetany IV. Inflammation of glomeruli of kidney Choose the correct answer from the options given below:,"A-III, B-I, C-IV, D-II","A-III, B-I, C-II, D-IV","A-II, B-IV, C-III, D-I","A-II, B-III, C-IV, D-I",D,2025,101
Biology,Plant Growth and Development,Plant Growth and Development,,90,,Which one of the following phytohormones promotes nutrient mobilization which helps in the delay of leaf senescence in plants?,Ethylene,Abscisic acid,Gibberellin,Cytokinin,D,2025,108
Biology,Chemical Coordination and Integration,Chemical Coordination and Integration,,90,,Cardiac activities of the heart are regulated by: A. Nodal tissue B. A special neural centre in the medulla oblongata C. Adrenal medullary hormones D. Adrenal cortical hormones Choose the correct answer from the options given below:,"A, B and C Only.","A, B, C and D","A, C and D Only","A, B and D Only",A,2025,112
Biology,Cell: The Unit of Life,Cell: The Unit of Life,,90,,"A specialized membranous structure in a prokaryotic cell which helps in cell wall formation, DNA replication and respiration is:",Mesosome,Chromatophores,Cristae,Endoplasmic Reticulum,A,2025,128
Biology,Molecular Basis of Inheritance,Molecular Basis of Inheritance,,90,,Which of the following are the post-transcriptional events in an eukaryotic cell? A. Transport of pre-mRNA to cytoplasm prior to splicing. B. Removal of introns and joining of exons. C. Addition of methyl group at 5’ end of hnRNA. D. Addition of adenine residues at 3’ end of hnRNA. E. Base pairing of two complementary RNAs. Choose the correct answer from the options given below:,"A, B, C only","B, C, D only","B, C, E only","C, D, E only",B,2025,129
Biology,Principles of Inheritance and Variation,Principles of Inheritance and Variation,,90,,What is the pattern of inheritance for polygenic trait?,Mendelian inheritance pattern,Non-mendelian inheritance pattern,Autosomal dominant pattern,X-linked recessive inheritance pattern,B,2025,130
Biology,Cell: The Unit of Life,Cell: The Unit of Life,,90,,Each of the following characteristics represent a Kingdom proposed by Whittaker. Arrange the following in increasing order of complexity of body organization. A. Multicellular heterotrophs with cell wall made of chitin. B. Heterotrophs with tissue/organ/organ system level of body organization. C. Prokaryotes with cell wall made of polysaccharides and amino acids. D. Eukaryotic autotrophs with tissue/organ level of body organization. E. Eukaryotes with cellular body organization. Choose the correct answer from the options given below:,"A, C, E, B, D","C, E, A, D, B","A, C, E, D, B","C, E, A, B, D",B,2025,132
Biology,Molecular Basis of Inheritance,Molecular Basis of Inheritance,,90,,Match List-I with List-II. List-I List-II A. Alfred Hershey and Martha Chase I. Streptococcus Pneumoniae B. Euchromatin II. Densely packed and dark-stained C. Frederick Griffith III. Loosely packed and light-stained D. Heterochromatin IV. DNA as genetic material confirmation Choose the correct answer from the options given below:,"A-II, B-IV, C-I, D-III","A-IV, B-II, C-I, D-III","A-IV, B-III, C-I, D-II","A-III, B-II, C-IV, D-I",C,2025,134
Biology,Biotechnology - Principles and Processes,Biotechnology - Principles and Processes,,90,,"Given below are two statements: Statement I: The DNA fragments extracted from gel electrophoresis can be used in construction of recombinant DNA. Statement II: Smaller size DNA fragments are observed near anode while larger fragments are found near the wells in an agarose gel. In the light of the above statements, choose the most appropriate answer from the options given below:",Both statement I and statement II are correct,Both statement I and statement II are incorrect,Statement I is correct but statement II is incorrect,Statement I is incorrect but statement II is correct,A,2025,136
Biology,Molecular Basis of Inheritance,Molecular Basis of Inheritance,,90,,Silencing of specific mRNA is possible via RNAi because of -,Complementary dsRNA,Inhibitory ssRNA,Complementary tRNA,Non-complementary ssRNA,A,2025,144
Biology,Ecosystem,Ecosystem,,90,,Which of the following is the unit of productivity of an Ecosystem?,gm–2,KCal m–2,KCal m–3,(KCal m–2)yr–1,D,2025,150
Biology,Cell Cycle and Cell Division,Cell Cycle and Cell Division,,90,,How many meiotic and mitotic divisions need to occur for the development of a mature female gametophyte from the megaspore mother cell in an angiosperm plant?,2 Meiosis and 3 Mitosis,1 Meiosis and 2 Mitosis,1 Meiosis and 3 Mitosis,No Meiosis and 2 Mitosis,C,2025,154
Biology,Chemical Coordination and Integration,Chemical Coordination and Integration,,90,,Consider the following statements regarding function of adrenal medullary hormones: A. It causes pupilary constriction B. It is a hyperglycemic hormone C. It causes piloerection D. It increases/strength of heart contraction Choose the correct answer from the options given below:,C and D Only,"B, C and D Only","A, C and D Only",D Only,B,2025,160
Biology,Plant Kingdom,Plant Kingdom,,90,,Match List-I with List-II. List-I List-II A. Pteridophyte I. Salvia B. Bryophyte II. Ginkgo C. Angiosperm III. Polytrichum D. Gymnosperm IV. Salvinia Choose the option with all correct matches.,"A-III, B-IV, C-II, D-I","A-IV, B-III, C-I, D-II","A-III, B-IV, C-I, D-II","A-IV, B-III, C-II, D-I",B,2025,162
Biology,Biodiversity and Conservation,Biodiversity and Conservation,,90,,Match List-I with List-II. List-I List-II A. The Evil Quartet I. Cryopreservation B. Ex situ conservation II. Alien species invasion C. Lantana camara III. Causes of biodiversity losses D. Dodo IV. Extinction Choose the option with all correct matches.,"A-III, B-II, C-I, D-IV","A-III, B-I, C-II, D-IV","A-III, B-IV, C-II, D-I","A-III, B-II, C-IV, D-I",B,2025,164
Biology,Chemical Coordination and Integration,Chemical Coordination and Integration,,90,,Which of the following hormones released from the pituitary is actually synthesized in the hypothalamus?,Luteinizing hormone (LH),Anti-diuretic hormone (ADH),Follicle-stimulating hormone (FSH),Adenocorticotrophic hormone (ACTH),B,2025,165
Biology,Photosynthesis in Higher Plants,Photosynthesis in Higher Plants,,90,,Which of the following statements about RuBisCO is true?,It is active only in the dark.,It has higher affinity for oxygen than carbon dioxide.,It is an enzyme involved in the photolysis of water.,It catalyzes the carboxylation of RuBP.,D,2025,171
Biology,Biotechnology - Principles and Processes,Biotechnology - Principles and Processes,,90,,Which of the following enzyme(s) are NOT essential for gene cloning? A. Restriction enzymes B. DNA ligase C. DNA mutase D. DNA recombinase E. DNA polymerase Choose the correct answer from the options given below :,C and D only,A and B only,D and E only,B and C only,A,2025,172
Biology,Plant Growth and Development,Plant Growth and Development,,90,,Read the following statements on plant growth and development. A. Parthenocarpy can be induced by auxins. B. Plant growth regulators can be involved in promotion as well as inhibition of growth. C. Dedifferentiation is a pre-requisite for re- differentiation. D. Abscisic acid is a plant growth promoter. E. Apical dominance promotes the growth of lateral buds. Choose the option with all correct statements.,"A, B, C only","A, C, E only","A, D, E only","B, D, E only",A,2025,173
Biology,Chemical Coordination and Integration,Chemical Coordination and Integration,,90,,Match List-I with List-II. List-I List-II A. Progesterone I. Pars intermedia B. Relaxin II. Ovary C. Melanocyte stimulating hormone III. Adrenal Medulla D. Catecholamines IV. Corpus luteum Choose the correct answer from the options given below:,"A-IV, B-II, C-I, D-III","A-IV, B-II, C-III, D-I","A-II, B-IV, C-I, D-III","A-III, B-II, C-IV, D-I [24] [Contd... NEET (UG)-2025 [Code – 45] ENGLISH",A,2025,178
