subject,chapter,concept,difficulty,par_time_sec,par_seconds,question_text,option_a,option_b,option_c,option_d,correct_option,year,q_no,review_status,reason,kw_chapter
Physics,Alternating Current,Alternating Current,,70,70,"A series LCR circuit is connected to an ac voltage source. When L is removed from the circuit, the phase difference between current and voltage is 3 . If instead C is removed from the circuit, the phase difference is again 3  between current and voltage. The power factor of the circuit is :",0.5,1.0,–1.0,zero,B,2020,1,fixable_figure,figure_hint keyword detected,
Physics,,,,90,,Which of the following graph represents the variation of resistivity () with temperature (T) for copper? Unacademy Select [6] (1) (2) (3) (4),,,,,B,2020,10,unusable_parse_fail,could not split 4 options,
Physics,Electrostatic Potential and Capacitance,Electrostatic Potential and Capacitance,,30,30,"A 40 F capacitor is connected to a 200 V, 50 Hz ac supply. The rms value of the current in the circuit is, nearly:",2.05 A,2.5 A,25.1 A,1.7 A,B,2020,12,fixable_figure,figure_hint keyword detected,
Physics,Laws of Motion,Laws of Motion,,50,50,A Two bodies of mass 4 kg and 6 kg are tied to the ends of a massless string. The string passes over a pulley which is frictionless (see figure). The acceleration of the system in terms of acceleration due to gravity (g) is :,g/2,g/5,g/10,g,B,2020,21,fixable_figure,figure_hint keyword detected,
Physics,Units and Measurements,Units and Measurements,,30,30,"Taking into account of the significant figures, what is the value of 9.99 m – 0.0099 m?",9.98 m,9.980 m,9.9 m,9.9801 m,A,2020,36,fixable_figure,figure_hint keyword detected,
Physics,Unclassified,Unclassified,,50,50,"For the logic circuit shown, the truth table is:",A B Y,A B Y 0 0 0 0 0 1 0 1 1 0 1 1 1 0 1 1 0 1 1 1 1 1 1 0,A B Y,A B Y 0 0 1 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 1 1 0 1 1 1,D,2020,42,fixable_figure,figure_hint keyword detected,
Chemistry,Unclassified,Unclassified,,30,30,Among the compounds shown below which one revealed a linear structure,NO2,HOCl,O3,N2O,D,2020,5,fixable_figure,figure_hint keyword detected,
Chemistry,,,,90,,Which of the following compound is most reactive in electrophilic aromatic substitution? (1) (2) (3) (4),,,,,D,2020,6,unusable_parse_fail,could not split 4 options,
Chemistry,,,,90,,Which of the following will NOT undergo SN 1 reaction with OH- ? (1) CH2 = CH-CH2Cl (2) (CH3)3 CCl (3) (4),,,,,C,2020,7,unusable_parse_fail,could not split 4 options,
Chemistry,,,,90,,Which of the following substituted phenols is the strongest acid ? (1) (2) (3) (4),,,,,A,2020,14,unusable_parse_fail,could not split 4 options,
Chemistry,,,,90,,"If 8g of a non-electrolyte solute is dissolved in 114g of n -octane to reduce its vapour pressure to 80%, the molar mass (in gmol-1) of the solute is [Given that molar mass of n -octane is 114 gmol-1]",,,,,A,2020,19,unusable_parse_fail,could not split 4 options,
Chemistry,,,,90,,Which of the following acid will form an (a) Anhydride on heating and (b) Acid imide on strong heating with ammonia ? (1) (2) (3) (4),,,,,A,2020,30,unusable_parse_fail,could not split 4 options,
Chemistry,Work Energy and Power,Work Energy and Power,,25,25,The potential energy (y) curve for H2 formation as a function of internuclear distance (x) of the H atoms is shown below. Unacademy Select [46] The bond energy of H2 is :,(b-a),(c a) 2 −,(b a) 2 −,(c-a),A,2020,34,fixable_figure,figure_hint keyword detected,
Biology,Evolution,Evolution,,30,30,The phenomenon of evolution of different species in a given geographical area starting from a point and spreading to other habitats is called,Saltation,Co-evolution,Natural selection,Adaptive radiation,D,2020,49,fixable_figure,figure_hint keyword detected,
Physics,Mechanical Properties of Solids,Mechanical Properties of Solids,,30,30,"A wire of length L, area of cross section A is hanging from a fixed support. The length of the wire changes to L1 when mass M is suspended from its free end. The expression for Young’s modulus is :",( ) 1 Mg L L AL −,1 MgL AL,( ) 1 MgL A L L −,1 MgL AL,C,2020,2,llm_flagged,llm=Mechanical Properties of Solids; kw_score=0 kw=Unclassified,Unclassified
Physics,Atoms,Atoms,,30,30,"For which one of the following, Bohr model is not valid ?",Singly ionised helium atom (He),Deuteron atom,Singly ionised neon atom (Ne),Hydrogen atom,C,2020,6,llm_flagged,llm=Atoms; kw_score=1 kw=Atoms,Atoms
Physics,Work Energy and Power,Work Energy and Power,,20,20,Light with an average flux of 20 W/cm falls on a non-reflecting surface at normal incidence having surface area 20 cm2. The energy received by the surface during time span of 1 minute is :,12 × 103 J,24 × 103 J,48 × 103 J,10 × 103 J,B,2020,7,llm_flagged,llm=Work Energy and Power; kw_score=0 kw=Unclassified,Unclassified
