subject,chapter,concept,difficulty,par_time_sec,par_seconds,question_text,option_a,option_b,option_c,option_d,correct_option,year,q_no,review_status,reason,kw_chapter
Physics,,,,90,,,,,,,D,2017,2,unusable_parse_fail,could not split 4 options,
Physics,,,,90,,,,,,,B,2017,3,unusable_parse_fail,could not split 4 options,
Physics,,,,90,,,,,,,A,2017,7,unusable_parse_fail,could not split 4 options,
Physics,Current Electricity,Current Electricity,,60,,"Figure shows a circuit contains three identical resistors with resistance R = 9.0  each, two identical inductors with inductance L = 2.0 mH each, and an ideal battery with emf  = 18 V. The current 'i' through the battery just after the switch closed is – +  C R R L R L",2 mA,0.2 A,2 A,0 ampere,C,2017,8,fixable_figure,figure_hint keyword detected,
Physics,,,,90,,,,,,,A,2017,11,unusable_parse_fail,could not split 4 options,
Physics,Thermodynamics,Thermodynamics,,60,,Thermodynamic processes are indicated in the following diagram. f 700 K 500 K 300 K f f f III I II IV P V i Match the following Column-1 Column-2 P. Process I a. Adiabatic Q. Process II b. Isobaric R. Process III c. Isochoric S. Process IV d. Isothermal,"P  a, Q  c, R  d, S  b","P  c, Q  a, R  d, S  b","P  c, Q  d, R  b, S  a","P  d, Q  b, R  a, S  c",B,2017,16,fixable_figure,figure_hint keyword detected,
Physics,,,,90,,,,,,,A,2017,28,unusable_parse_fail,could not split 4 options,
Physics,Work Energy and Power,Work Energy and Power,,60,,V B A B A (a) (b) (c) (d) A positive charge is moved from A to B in each diagram.,Maximum work is required to move q in figure (c).,In all the four cases the work done is the same.,Minimum work is required to move q in figure (a).,Maximum work is required to move q in figure (b).,B,2017,30,fixable_figure,figure_hint keyword detected,
Chemistry,,,,90,,,,,,,D,2017,64,unusable_parse_fail,could not split 4 options,
Chemistry,Alcohols Phenols and Ethers,Alcohols Phenols and Ethers,,60,,The most suitable method of separation of 1 : 1 mixture of ortho and para-nitrophenols is,Sublimation,Chromatography,Crystallisation,Steam distillation,D,2017,78,fixable_figure,figure_hint keyword detected,
Biology,,,,90,,Good vision depends on adequate intake of carotene rich food Select the best option from the following statements (a) Vitamin A derivatives are formed from carotene (b) The photopigments are embedded ,,,,,B,2017,152,unusable_parse_fail,could not split 4 options,
Physics,,,,90,,,,,,,,2017,6,unusable_no_answer,Q# not found between adjacent questions in text,
Physics,,,,90,,,,,,,,2017,12,unusable_no_answer,Q# not found between adjacent questions in text,
Physics,,,,90,,,,,,,,2017,15,unusable_no_answer,Q# not found between adjacent questions in text,
Physics,,,,90,,,,,,,,2017,17,unusable_no_answer,Q# not found between adjacent questions in text,
Physics,,,,90,,,,,,,,2017,19,unusable_no_answer,Q# not found between adjacent questions in text,
Physics,,,,90,,,,,,,,2017,22,unusable_no_answer,Q# not found between adjacent questions in text,
Physics,,,,90,,,,,,,,2017,23,unusable_no_answer,Q# not found between adjacent questions in text,
Physics,,,,90,,,,,,,,2017,25,unusable_no_answer,Q# not found between adjacent questions in text,
Physics,,,,90,,,,,,,,2017,27,unusable_no_answer,Q# not found between adjacent questions in text,
Physics,,,,90,,,,,,,,2017,29,unusable_no_answer,Q# not found between adjacent questions in text,
Physics,,,,90,,,,,,,,2017,32,unusable_no_answer,Q# not found between adjacent questions in text,
Physics,,,,90,,,,,,,,2017,34,unusable_no_answer,Q# not found between adjacent questions in text,
Physics,,,,90,,,,,,,,2017,36,unusable_no_answer,Q# not found between adjacent questions in text,
Physics,,,,90,,,,,,,,2017,37,unusable_no_answer,Q# not found between adjacent questions in text,
Physics,,,,90,,,,,,,,2017,39,unusable_no_answer,Q# not found between adjacent questions in text,
Physics,,,,90,,,,,,,,2017,40,unusable_no_answer,Q# not found between adjacent questions in text,
Physics,,,,90,,,,,,,,2017,41,unusable_no_answer,Q# not found between adjacent questions in text,
Physics,,,,90,,,,,,,,2017,42,unusable_no_answer,Q# not found between adjacent questions in text,
Physics,,,,90,,,,,,,,2017,45,unusable_no_answer,Q# not found between adjacent questions in text,
Chemistry,,,,90,,,,,,,,2017,47,unusable_no_answer,Q# not found between adjacent questions in text,
Chemistry,,,,90,,,,,,,,2017,48,unusable_no_answer,Q# not found between adjacent questions in text,
Chemistry,,,,90,,,,,,,,2017,52,unusable_no_answer,Q# not found between adjacent questions in text,
Chemistry,,,,90,,,,,,,,2017,57,unusable_no_answer,Q# not found between adjacent questions in text,
Chemistry,,,,90,,,,,,,,2017,59,unusable_no_answer,Q# not found between adjacent questions in text,
Chemistry,,,,90,,,,,,,,2017,61,unusable_no_answer,Q# not found between adjacent questions in text,
Chemistry,,,,90,,,,,,,,2017,67,unusable_no_answer,Q# not found between adjacent questions in text,
Biology,,,,90,,,,,,,,2017,130,unusable_no_answer,Q# not found in PDF text (structural/OCR gap),
Physics,Kinetic Theory,Kinetic Theory,,60,,"moles of Ar at temperature T. Neglecting all vibrational modes, the total internal energy of the system is",4 RT,15 RT,9 RT,11 RT,D,2017,4,llm_flagged,llm=Kinetic Theory; kw_score=1 kw=Thermodynamics,Thermodynamics
Physics,Moving Charges and Magnetism,Moving Charges and Magnetism,,60,,A 250-Turn rectangular coil of length 2.1 cm and width 1.25 cm carries a current of 85 A and subjected to a magnetic field of strength 0.85 T. Work done for rotating the coil by 180° against the torque is,9.1 J,4.55 J,2.3 J,1.15 J,A,2017,5,llm_flagged,llm=Moving Charges and Magnetism; kw_score=1 kw=Work Energy and Power,Work Energy and Power
Physics,Motion in a Plane,Motion in a Plane,,60,,"The x and y coordinates of the particle at any time are x = 5t – 2t2 and y = 10t respectively, where x and y are in meters and t in seconds. The acceleration of the particle at t = 2 s is",0,5 m/s2,–4 m/s2,–8 m/s2,C,2017,9,llm_flagged,llm=Motion in a Plane; kw_score=0 kw=Unclassified,Unclassified
Physics,Electrostatic Potential and Capacitance,Electrostatic Potential and Capacitance,,60,,"Suppose the charge of a proton and an electron differ slightly. One of them is –e, the other is (e + e). If the net of electrostatic force and gravitational force between two hydrogen atoms placed at a distance d (much greater than atomic size) apart is zero, then e is of the order of [Given mass of hydrogen mh = 1.67 × 10–27 kg]",10–20 C,10–23 C,10–37 C,10–47 C,C,2017,10,llm_flagged,llm=Electrostatic Potential and Capacitance; kw_score=1 kw=Gravitation,Gravitation
Physics,Wave Optics,Wave Optics,,60,,Young’s double slit experiment is first performed in air and then in a medium other than air. It is found that 8th bright fringe in the medium lies where 5th dark fringe lies in air. The refractive index of the medium is nearly,1.25,1.59,1.69,1.78,D,2017,14,llm_flagged,llm=Wave Optics; kw_score=1 kw=Ray Optics and Optical Instruments,Ray Optics and Optical Instruments
Physics,Dual Nature of Radiation and Matter,Dual Nature of Radiation and Matter,,60,,The photoelectric threshold wavelength of silver is 3250 × 10–10 m. The velocity of the electron ejected from a silver surface by ultraviolet light of wavelength 2536 × 10–10 m is (Given h = 4.14 × 10–15 eVs and c = 3 × 108 ms–1), 6 × 105 ms–1, 0.6 × 106 ms–1, 61 × 103 ms–1, 0.3 × 106 ms–1,A,2017,18,llm_flagged,llm=Dual Nature of Radiation and Matter; kw_score=1 kw=Dual Nature of Radiation and Matter,Dual Nature of Radiation and Matter
Physics,Waves,Waves,,60,,Two cars moving in opposite directions approach each other with speed of 22 m/s and 16.5 m/s respectively. The driver of the first car blows a horn having a frequency 400 Hz. The frequency heard by the driver of the second car is [velocity of sound 340 m/s],350 Hz,361 Hz,411 Hz,448 Hz,D,2017,20,llm_flagged,llm=Waves; kw_score=0 kw=Unclassified,Unclassified
Physics,Current Electricity,Current Electricity,,60,,The given electrical network is equivalent to A B Y,AND gate,OR gate,NOR gate,NOT gate,C,2017,24,llm_flagged,llm=Current Electricity; kw_score=0 kw=Unclassified,Unclassified
Physics,Electromagnetic Waves,Electromagnetic Waves,,60,,In an electromagnetic wave in free space the root mean square value of the electric field is Erms = 6 V/m. The peak value of the magnetic field is,1.41 × 10–8 T,2.83 × 10–8 T,0.70 × 10–8 T,4.23 × 10–8 T,B,2017,31,llm_flagged,llm=Electromagnetic Waves; kw_score=1 kw=Electrostatic Potential and Capacitance,Electrostatic Potential and Capacitance
Physics,Ray Optics and Optical Instruments,Ray Optics and Optical Instruments,,60,,The ratio of resolving powers of an optical microscope for two wavelengths 1 = 4000 Å and 2 = 6000 Å is,8 : 27,9 : 4,3 : 2,16 : 81,C,2017,33,llm_flagged,llm=Ray Optics and Optical Instruments; kw_score=1 kw=Work Energy and Power,Work Energy and Power
Physics,Thermal Properties of Matter,Thermal Properties of Matter,,60,,"A spherical black body with a radius of 12 cm radiates 450 watt power at 500 K. If the radius were halved and the temperature doubled, the power radiated in watt would be",225,450,1000,1800,D,2017,35,llm_flagged,llm=Thermal Properties of Matter; kw_score=1 kw=Work Energy and Power,Work Energy and Power
Physics,Waves,Waves,,60,,The two nearest harmonics of a tube closed at one end and open at other end are 220 Hz and 260 Hz. What is the fundamental frequency of the system?,10 Hz,20 Hz,30 Hz,40 Hz,B,2017,43,llm_flagged,llm=Waves; kw_score=0 kw=Unclassified,Unclassified
Chemistry,Chemical Bonding and Molecular Structure,Chemical Bonding and Molecular Structure,,60,,"With respect to the conformers of ethane, which of the following statements is true?",Bond angle remains same but bond length changes,Bond angle changes but bond length remains same,Both bond angle and bond length change,Both bond angles and bond length remains same,D,2017,46,llm_flagged,llm=Chemical Bonding and Molecular Structure; kw_score=0 kw=Unclassified,Unclassified
Chemistry,The Solid State,The Solid State,,60,,Which is the incorrect statement?,FeO0.98 has non stoichiometric metal deficiency defect,Density decreases in case of crystals with Schottky's defect,"NaCl(s) is insulator, silicon is semiconductor, silver is conductor, quartz is piezo electric crystal",Frenkel defect is favoured in those ionic compounds in which sizes of cation and anions are almost equal,A,2017,50,llm_flagged,llm=The Solid State; kw_score=1 kw=Semiconductor Electronics,Semiconductor Electronics
Chemistry,Equilibrium,Equilibrium,,60,,Concentration of the Ag+ ions in a saturated solution of Ag2C2O4 is 2.2 × 10–4 mol L–1. Solubility product of Ag2C2O4 is,2.42 × 10–8,2.66 × 10–12,4.5 × 10–11,5.3 × 10–12,D,2017,51,llm_flagged,llm=Equilibrium; kw_score=1 kw=Equilibrium,Equilibrium
Chemistry,Chemical Bonding and Molecular Structure,Chemical Bonding and Molecular Structure,,60,,"The species, having bond angles of 120° is",PH3,CIF3,NCl3,BCl3,D,2017,53,llm_flagged,llm=Chemical Bonding and Molecular Structure; kw_score=0 kw=Unclassified,Unclassified
Chemistry,Solutions,Solutions,,60,,"If molality of the dilute solution is doubled, the value of molal depression constant (Kf) will be",Doubled,Halved,Tripled,Unchanged,D,2017,54,llm_flagged,llm=Solutions; kw_score=1 kw=Some Basic Concepts of Chemistry,Some Basic Concepts of Chemistry
Chemistry,Alcohols Phenols and Ethers,Alcohols Phenols and Ethers,,60,,Which one is the most acidic compound?,OH CH3,OH,OH NO2,OH NO2 NO2 O2N,D,2017,55,llm_flagged,llm=Alcohols Phenols and Ethers; kw_score=0 kw=Unclassified,Unclassified
Chemistry,The p-Block Elements,The p-Block Elements,,60,,It is because of inability of ns2 electrons of the valence shell to participate in bonding that,Sn2+ is reducing while Pb4+ is oxidising,Sn2+ is oxidising while Pb4+ is reducing,Sn2+ and Pb2+ are both oxidising and reducing,Sn4+ is reducing while Pb4+ is oxidising,A,2017,56,llm_flagged,llm=The p-Block Elements; kw_score=1 kw=Haloalkanes and Haloarenes,Haloalkanes and Haloarenes
Chemistry,Chemical Kinetics,Chemical Kinetics,,60,,Which one of the following statements is not correct?,Catalyst does not initiate any reaction,The value of equilibrium constant is changed in the presence of a catalyst in the reaction at equilibrium,Enzymes catalyse mainly bio-chemical reactions,Coenzymes increase the catalytic activity of enzyme,B,2017,58,llm_flagged,llm=Chemical Kinetics; kw_score=1 kw=Equilibrium,Equilibrium
Chemistry,Thermodynamics,Thermodynamics,,60,,A gas is allowed to expand in a well insulated container against a constant external pressure of 2.5 atm from an initial volume of 2.50 L to a final volume of 4.50 L. The change in internal energy U of the gas in joules will be,1136.25 J,–500 J,–505 J,+505 J,C,2017,60,llm_flagged,llm=Thermodynamics; kw_score=1 kw=Thermodynamics,Thermodynamics
Chemistry,Hydrocarbons,Hydrocarbons,,60,,Which one is the correct order of acidity?,CH2 = CH2 > CH3 – CH = CH2 > CH3 – C  CH > CH  CH,CH  CH > CH3 – C  CH > CH2 = CH2 > CH3 – CH3,CH  CH > CH2 = CH2 > CH3 – C  CH > CH3 – CH3,CH3 – CH3 > CH2 = CH2 > CH3 – C  CH > CH  CH,B,2017,62,llm_flagged,llm=Hydrocarbons; kw_score=0 kw=Unclassified,Unclassified
Chemistry,Electrochemistry,Electrochemistry,,60,,"In the electrochemical cell : Zn|ZnSO4(0.01M)||CuSO4(1.0 M)|Cu, the emf of this Daniel cell is E1. When the concentration of ZnSO4 is changed to 1.0 M and that of CuSO4 changed to 0.01 M, the emf changes to E2. From the following, which one is the relationship between E1 and E2? (Given, RT F = 0.059)",E1 = E2,E1 < E2,E1 > E2,E2 = 0 ≠ E1,C,2017,63,llm_flagged,llm=Electrochemistry; kw_score=0 kw=Unclassified,Unclassified
Chemistry,States of Matter,States of Matter,,60,,mm Water D,650 kg m–3,425 kg m–3,800 kg m–3,928 kg m–3,B,2017,65,llm_flagged,llm=States of Matter; kw_score=0 kw=Unclassified,Unclassified
Chemistry,Coordination Compounds,Coordination Compounds,,60,,"The correct order of the stoichiometries of AgCl formed when AgNO3 in excess is treated with the complexes : CoCl36NH3, CoCl35NH3, CoCl34NH3 respectively is","1 AgCl, 3 AgCl, 2 AgCl","3 AgCl, 1 AgCl, 2 AgCl","3 AgCl, 2 AgCl, 1 AgCl","2 AgCl, 3 AgCl, 1 AgCl",C,2017,66,llm_flagged,llm=Coordination Compounds; kw_score=1 kw=Some Basic Concepts of Chemistry,Some Basic Concepts of Chemistry
Chemistry,The d- and f-Block Elements,The d- and f-Block Elements,,60,,The reason for greater range of oxidation states in actinoids is attributed to,The radioactive nature of actinoids,Actinoid contraction,"5f, 6d and 7s levels having comparable energies",4f and 5d levels being close in energies,C,2017,68,llm_flagged,llm=The d- and f-Block Elements; kw_score=1 kw=Nuclei,Nuclei
Chemistry,Equilibrium,Equilibrium,,60,,"A 20 litre container at 400 K contains CO2(g) at pressure 0.4 atm and an excess of SrO (neglect the volume of solid SrO). The volume of the containers is now decreased by moving the movable piston fitted in the container. The maximum volume of the container, when pressure of CO2 attains its maximum value, will be (Given that : SrCO3(s) ⇀ ↽ SrO(s) + CO2(g). Kp = 1.6 atm)",5 litre,10 litre,4 litre,2 litre,A,2017,69,llm_flagged,llm=Equilibrium; kw_score=0 kw=Unclassified,Unclassified
Chemistry,Environmental Chemistry,Environmental Chemistry,,60,,Which of the following is a sink for CO?,Haemoglobin,Micro-organisms present in the soil,Oceans,Plants,B,2017,71,llm_flagged,llm=Environmental Chemistry; kw_score=0 kw=Unclassified,Unclassified
Chemistry,Classification of Elements and Periodicity,Classification of Elements and Periodicity,,60,,The element Z = 114 has been discovered recently. It will belong to which of the following family group and electronic configuration?,"Halogen family, [Rn] 5f146d107s27p5","Carbon family, [Rn] 5f146d107s27p2","Oxygen family, [Rn] 5f146d107s27p4","Nitrogen family, [Rn] 5f146d107s27p6",B,2017,72,llm_flagged,llm=Classification of Elements and Periodicity; kw_score=1 kw=Structure of Atom,Structure of Atom
Chemistry,Coordination Compounds,Coordination Compounds,,60,,Correct increasing order for the wavelengths of absorption in the visible region for the complexes of Co3+ is,"[Co(en)3]3+, [Co(NH3)6]3+, [Co(H2O)6]3+","[Co(H2O)6]3+, [Co(en)3]3+, [Co(NH3)6]3+","[Co(H2O)6]3+, [Co(NH3)6]3+, [Co(en)3]3+","[Co(NH3)6]3+, [Co(en)3]3+, [Co(H2O)6]3+",A,2017,73,llm_flagged,llm=Coordination Compounds; kw_score=0 kw=Unclassified,Unclassified
Chemistry,Biomolecules,Biomolecules,,60,,Which of the following statements is not correct?,Insulin maintains sugar level in the blood of a human body,Ovalbumin is a simple food reserve in egg-white,Blood proteins thrombin and fibrinogen are involved in blood clotting,Denaturation makes the proteins more active,D,2017,74,llm_flagged,llm=Biomolecules; kw_score=1 kw=Biomolecules,Biomolecules
Chemistry,Coordination Compounds,Coordination Compounds,,60,,An example of a sigma bonded organometallic compound is :,Ruthenocene,Grignard's reagent,Ferrocene,Cobaltocene,B,2017,75,llm_flagged,llm=Coordination Compounds; kw_score=1 kw=Chemical Bonding and Molecular Structure,Chemical Bonding and Molecular Structure
Chemistry,Thermodynamics,Thermodynamics,,60,,"For a given reaction, H = 35.5 kJ mol–1 and S = 83.6 JK–1 mol–1. The reaction is spontaneous at : (Assume that H and S do not vary with temperature)",T < 425 K,T > 425 K,All temperatures,T > 298 K,B,2017,77,llm_flagged,llm=Thermodynamics; kw_score=0 kw=Unclassified,Unclassified
